panel,flag,window,n,share_1,pct_na
Electric,any_inspections,2005-2025,63315,0.683,0.24
Electric,any_violations,2005-2025,63315,0.064,0.24
Electric,any_enforcement,2005-2025,63315,0.099,0.24
Electric,any_certs,2005-2025,63315,0.683,0.24
Electric,emits_voc,2005-2025,63315,0.623,0
Electric,emits_pm,2005-2025,63315,0.7,0
Electric,emits_co,2005-2025,63315,0.705,0
Electric,emits_nox,2005-2025,63315,0.809,0
Electric,emits_so2,2005-2025,63315,0.683,0
Electric,emits_hap,2005-2025,63315,0.402,0
Electric,prog_sip,2005-2025,63315,0.949,0
Electric,prog_titlev,2005-2025,63315,0.771,0
Electric,prog_nsps,2005-2025,63315,0.623,0
Electric,prog_mact,2005-2025,63315,0.508,0
Electric,prog_gact,2005-2025,63315,0.139,0
Electric,prog_neshap,2005-2025,63315,0.041,0
Electric,prog_fesop,2005-2025,63315,0.059,0
Electric,prog_nsr,2005-2025,63315,0.168,0
Electric,prog_psd,2005-2025,63315,0.314,0
Electric,prog_cfc,2005-2025,63315,0.059,0
Electric,prog_sip_active,2015-2025,33165,0.935,0.248
Electric,prog_titlev_active,2015-2025,33165,0.724,0.248
Electric,prog_nsps_active,2015-2025,33165,0.601,0.248
Electric,prog_mact_active,2015-2025,33165,0.497,0.248
Electric,prog_gact_active,2015-2025,33165,0.096,0.248
Electric,prog_neshap_active,2015-2025,33165,0.026,0.248
Electric,prog_fesop_active,2015-2025,33165,0.04,0.248
Electric,prog_nsr_active,2015-2025,33165,0.134,0.248
Electric,prog_psd_active,2015-2025,33165,0.293,0.248
Electric,prog_cfc_active,2015-2025,33165,0.05,0.248
Electric,operating,2015-2025,33165,0.855,0.127
Electric,hpv_active,2015-2025,33165,0.035,0.175
Electric,hpv_active_1mo,2005-2025,63315,0.067,0.238
Major/SynMin,any_inspections,2005-2025,949452,0.606,0.373
Major/SynMin,any_violations,2005-2025,949452,0.066,0.373
Major/SynMin,any_enforcement,2005-2025,949452,0.11,0.373
Major/SynMin,any_certs,2005-2025,949452,0.399,0.373
Major/SynMin,emits_voc,2005-2025,949452,0.637,0
Major/SynMin,emits_pm,2005-2025,949452,0.567,0
Major/SynMin,emits_co,2005-2025,949452,0.487,0
Major/SynMin,emits_nox,2005-2025,949452,0.561,0
Major/SynMin,emits_so2,2005-2025,949452,0.427,0
Major/SynMin,emits_hap,2005-2025,949452,0.369,0
Major/SynMin,prog_sip,2005-2025,949452,0.936,0
Major/SynMin,prog_titlev,2005-2025,949452,0.435,0
Major/SynMin,prog_nsps,2005-2025,949452,0.471,0
Major/SynMin,prog_mact,2005-2025,949452,0.41,0
Major/SynMin,prog_gact,2005-2025,949452,0.121,0
Major/SynMin,prog_neshap,2005-2025,949452,0.051,0
Major/SynMin,prog_fesop,2005-2025,949452,0.154,0
Major/SynMin,prog_nsr,2005-2025,949452,0.099,0
Major/SynMin,prog_psd,2005-2025,949452,0.1,0
Major/SynMin,prog_cfc,2005-2025,949452,0.029,0
Major/SynMin,prog_sip_active,2015-2025,497332,0.927,0.299
Major/SynMin,prog_titlev_active,2015-2025,497332,0.359,0.299
Major/SynMin,prog_nsps_active,2015-2025,497332,0.454,0.299
Major/SynMin,prog_mact_active,2015-2025,497332,0.403,0.299
Major/SynMin,prog_gact_active,2015-2025,497332,0.096,0.299
Major/SynMin,prog_neshap_active,2015-2025,497332,0.037,0.299
Major/SynMin,prog_fesop_active,2015-2025,497332,0.13,0.299
Major/SynMin,prog_nsr_active,2015-2025,497332,0.078,0.299
Major/SynMin,prog_psd_active,2015-2025,497332,0.092,0.299
Major/SynMin,prog_cfc_active,2015-2025,497332,0.026,0.299
Major/SynMin,operating,2015-2025,497332,0.829,0.159
Major/SynMin,hpv_active,2015-2025,497332,0.026,0.248
Major/SynMin,hpv_active_1mo,2005-2025,949452,0.049,0.372
Universe,any_inspections,2005-2025,2781681,0.421,0.486
Universe,any_violations,2005-2025,2781681,0.036,0.486
Universe,any_enforcement,2005-2025,2781681,0.075,0.486
Universe,any_certs,2005-2025,2781681,0.183,0.486
Universe,emits_voc,2005-2025,2781681,0.488,0
Universe,emits_pm,2005-2025,2781681,0.449,0
Universe,emits_co,2005-2025,2781681,0.331,0
Universe,emits_nox,2005-2025,2781681,0.389,0
Universe,emits_so2,2005-2025,2781681,0.252,0
Universe,emits_hap,2005-2025,2781681,0.229,0
Universe,prog_sip,2005-2025,2781681,0.9,0
Universe,prog_titlev,2005-2025,2781681,0.186,0
