year,panel,n_facilities,pct_observed,pct_operating,mean_insp,mean_viol,mean_enf
2005,Electric,3015,0.647,,2.72,0.08,0.38
2006,Electric,3015,0.66,,3.22,0.08,0.41
2007,Electric,3015,0.671,,3.48,0.08,0.44
2008,Electric,3015,0.688,,3.48,0.1,0.46
2009,Electric,3015,0.702,,3.24,0.1,0.46
2010,Electric,3015,0.703,,3.23,0.08,0.39
2011,Electric,3015,0.706,,3.04,0.07,0.35
2012,Electric,3015,0.704,,3.34,0.06,0.3
2013,Electric,3015,0.701,,2.86,0.05,0.3
2014,Electric,3015,0.712,,2.68,0.07,0.27
2015,Electric,3015,0.843,0.905,2.04,0.09,0.23
2016,Electric,3015,0.854,0.887,2.12,0.09,0.22
2017,Electric,3015,0.847,0.881,1.83,0.08,0.17
2018,Electric,3015,0.681,,2.24,0.13,0.26
2019,Electric,3015,0.851,0.868,1.91,0.11,0.19
2020,Electric,3015,0.844,0.857,2.02,0.1,0.15
2021,Electric,3015,0.839,0.848,1.92,0.09,0.17
2022,Electric,3015,0.832,0.839,1.87,0.11,0.23
2023,Electric,3015,0.831,0.835,1.81,0.13,0.27
2024,Electric,3015,0.825,0.825,1.73,0.11,0.2
2025,Electric,3015,0.824,0.82,1.62,0.1,0.19
2005,Major/SynMin,45212,0.472,,2.07,0.07,0.45
2006,Major/SynMin,45212,0.484,,2.28,0.08,0.45
2007,Major/SynMin,45212,0.483,,2.37,0.09,0.47
2008,Major/SynMin,45212,0.492,,2.27,0.09,0.48
2009,Major/SynMin,45212,0.501,,2.16,0.09,0.45
2010,Major/SynMin,45212,0.497,,2.16,0.08,0.41
2011,Major/SynMin,45212,0.497,,2.03,0.07,0.4
2012,Major/SynMin,45212,0.493,,2.07,0.07,0.37
2013,Major/SynMin,45212,0.485,,1.97,0.06,0.37
2014,Major/SynMin,45212,0.484,,1.94,0.07,0.36
2015,Major/SynMin,45212,0.718,0.865,1.18,0.08,0.25
2016,Major/SynMin,45212,0.759,0.855,1.16,0.09,0.24
2017,Major/SynMin,45212,0.759,0.846,1.02,0.08,0.22
2018,Major/SynMin,45212,0.465,,1.65,0.17,0.38
2019,Major/SynMin,45212,0.78,0.839,1.04,0.1,0.24
2020,Major/SynMin,45212,0.788,0.832,1,0.09,0.19
2021,Major/SynMin,45212,0.792,0.824,1.01,0.1,0.23
2022,Major/SynMin,45212,0.799,0.819,0.99,0.11,0.25
2023,Major/SynMin,45212,0.803,0.817,0.98,0.12,0.27
2024,Major/SynMin,45212,0.805,0.808,0.96,0.11,0.24
2025,Major/SynMin,45212,0.805,0.8,0.91,0.1,0.23
2005,Universe,132461,0.289,,1.71,0.05,0.41
2006,Universe,132461,0.297,,1.88,0.05,0.39
2007,Universe,132461,0.293,,1.94,0.06,0.37
2008,Universe,132461,0.291,,1.88,0.07,0.38
2009,Universe,132461,0.31,,1.77,0.06,0.36
2010,Universe,132461,0.299,,1.78,0.06,0.34
2011,Universe,132461,0.304,,1.69,0.05,0.34
2012,Universe,132461,0.302,,1.71,0.05,0.32
2013,Universe,132461,0.296,,1.65,0.05,0.33
2014,Universe,132461,0.285,,1.63,0.05,0.32
2015,Universe,132461,0.681,0.854,0.59,0.03,0.13
2016,Universe,132461,0.733,0.846,0.55,0.04,0.12
2017,Universe,132461,0.739,0.84,0.48,0.04,0.11
2018,Universe,132461,0.239,,1.47,0.13,0.39
2019,Universe,132461,0.762,0.829,0.47,0.04,0.12
2020,Universe,132461,0.767,0.823,0.45,0.04,0.09
2021,Universe,132461,0.772,0.817,0.46,0.05,0.11
2022,Universe,132461,0.779,0.811,0.45,0.05,0.12
2023,Universe,132461,0.781,0.808,0.43,0.05,0.13
2024,Universe,132461,0.784,0.8,0.42,0.05,0.12
2025,Universe,132461,0.782,0.793,0.41,0.04,0.11
