panel,family,n_rows,n_dup,n_dup_exact,dup_share,dup_exact_share
Electric,inspections,117414,17,0,0,0
Electric,enforcement,13420,4529,4491,0.337,0.335
Electric,formal,4131,38,0,0.009,0
Electric,informal,9289,4491,4491,0.483,0.483
Electric,certs,295250,238802,237409,0.809,0.804
Major/SynMin,inspections,866519,398,0,0,0
Major/SynMin,enforcement,184587,65804,65313,0.356,0.354
Major/SynMin,formal,49247,491,0,0.01,0
Major/SynMin,informal,135340,65313,65313,0.483,0.483
Major/SynMin,certs,2057955,1667769,1660261,0.81,0.807
Universe,inspections,1210284,571,0,0,0
Universe,enforcement,266289,96593,95955,0.363,0.36
Universe,formal,66580,638,0,0.01,0
Universe,informal,199709,95955,95955,0.48,0.48
Universe,certs,2238480,1813717,1805496,0.81,0.807
