STATE,afs_facilities,matched,unmatched,pct_matched
IL,20197,117,20080,0.6
NY,12379,1393,10986,11.3
NC,7807,614,7193,7.9
OH,6602,108,6494,1.6
PA,9079,3808,5271,41.9
SC,4428,62,4366,1.4
MI,3609,179,3430,5
KY,3617,838,2779,23.2
MT,2602,186,2416,7.1
MD,12838,10999,1839,85.7
UT,2233,460,1773,20.6
WY,2532,826,1706,32.6
MA,5250,4182,1068,79.7
WV,1021,0,1021,0
LA,13100,12806,294,97.8
ME,1285,1046,239,81.4
AZ,545,373,172,68.4
TN,3639,3510,129,96.5
MN,2359,2253,106,95.5
IA,5421,5337,84,98.5
IN,2099,2017,82,96.1
CT,3037,2996,41,98.6
NJ,5650,5616,34,99.4
AL,2530,2505,25,99
WI,830,808,22,97.3
RI,628,610,18,97.1
VT,323,306,17,94.7
TX,5539,5524,15,99.7
SD,711,697,14,98
FL,6533,6521,12,99.8
MS,1531,1519,12,99.2
ND,562,552,10,98.2
GA,6559,6551,8,99.9
CA,2561,2554,7,99.7
CO,26843,26837,6,100
MO,6583,6577,6,99.9
NM,5435,5430,5,99.9
AK,592,588,4,99.3
WA,793,790,3,99.6
ID,1457,1455,2,99.9
KS,6912,6910,2,100
OR,384,382,2,99.5
PR,570,568,2,99.6
AR,1958,1957,1,99.9
NH,1234,1233,1,99.9
VA,8709,8708,1,100
VI,111,110,1,99.1
DC,598,598,0,100
DE,386,386,0,100
GU,34,34,0,100
HI,193,193,0,100
MP,11,11,0,100
NE,5664,5664,0,100
NV,154,154,0,100
OK,8477,8477,0,100
