PGM_SYS_ID,ENTERED_YEAR,EARLIEST_PROGRAM_BEGIN_YEAR,lag_years
010000000901110001,2017,2017,0
01000000OCS0000003,2025,2022,3
01000000OCS0000004,2025,2022,3
01000000OCS0000005,2025,2023,2
01000000OCS0000006,2025,2024,1
01000000OCS0000007,2025,2024,1
01000000OCS0000008,2025,2025,0
01000000OCS0000009,2025,2025,0
01000000T200000001,2025,2024,1
01000000T200000002,2025,2025,0
01000000T200000003,2025,2025,0
01000000T200000004,2025,2025,0
01000000T200000005,2025,2025,0
020000000003605590,2017,2017,0
020000003400100006,2015,2014,1
020000003400100007,2015,2014,1
020000003400100009,2015,2014,1
020000003400100011,2015,2014,1
020000003400100012,2015,2014,1
020000003400100013,2015,2014,1
020000003400100014,2015,2014,1
020000003400100019,2015,2014,1
020000003400100020,2015,2014,1
020000003400100021,2015,2014,1
020000003400100022,2015,2014,1
020000003400100024,2015,2014,1
020000003400100027,2015,2014,1
020000003400100028,2015,2014,1
020000003400100034,2015,2014,1
020000003400100035,2015,2014,1
020000003400100036,2015,2014,1
020000003400100042,2015,2014,1
020000003400100046,2015,2014,1
020000003400100047,2015,2014,1
020000003400100056,2015,2014,1
020000003400100057,2015,2014,1
020000003400100060,2015,2014,1
020000003400100062,2015,2014,1
020000003400100063,2015,2014,1
020000003400100064,2015,2014,1
020000003400100065,2015,2014,1
020000003400100066,2015,2014,1
020000003400100068,2015,2014,1
020000003400100069,2015,2014,1
020000003400100070,2015,2014,1
020000003400100071,2015,2014,1
020000003400100072,2015,2014,1
020000003400100073,2015,2014,1
020000003400100074,2015,2014,1
020000003400100075,2015,2014,1
020000003400100076,2015,2014,1
020000003400100077,2015,2014,1
020000003400100078,2015,2014,1
020000003400100079,2015,2014,1
020000003400100080,2015,2014,1
020000003400100081,2015,2014,1
020000003400100082,2015,2014,1
020000003400100083,2015,2014,1
020000003400100084,2015,2014,1
020000003400100085,2015,2014,1
020000003400100086,2015,2014,1
020000003400100095,2015,2014,1
020000003400100104,2015,2014,1
020000003400100106,2015,2014,1
020000003400100108,2015,2014,1
020000003400100109,2015,2014,1
020000003400100123,2015,2014,1
020000003400100136,2015,2014,1
020000003400100137,2015,2014,1
020000003400100146,2015,2014,1
020000003400100212,2015,2014,1
020000003400100213,2015,2014,1
020000003400100214,2015,2014,1
020000003400111111,2015,2014,1
020000003400115662,2015,2014,1
020000003400115720,2015,2014,1
020000003400115724,2015,2014,1
020000003400180000,2015,2014,1
020000003400180002,2015,2014,1
020000003400180003,2015,2014,1
020000003400180005,2015,2014,1
020000003400180006,2015,2014,1
020000003400180007,2015,2014,1
020000003400180008,2015,2014,1
020000003400180009,2015,2014,1
020000003400190000,2015,2014,1
020000003400190001,2015,2014,1
020000003400190002,2015,2014,1
020000003400190003,2015,2014,1
020000003400190004,2015,2014,1
020000003400190005,2015,2014,1
020000003400190006,2015,2014,1
020000003400190007,2015,2014,1
020000003400190008,2015,2014,1
020000003400190009,2015,2014,1
020000003400190010,2015,2014,1
020000003400190011,2015,2014,1
020000003400190012,2015,2014,1
020000003400190013,2015,2014,1
020000003400190014,2015,2014,1
020000003400190015,2015,2014,1
020000003400190017,2015,2014,1
020000003400190018,2015,2014,1
020000003400190019,2015,2014,1
020000003400190020,2015,2014,1
020000003400190021,2015,2014,1
020000003400300017,2015,2014,1
020000003400300020,2015,2014,1
020000003400300021,2015,2014,1
020000003400300022,2015,2014,1
020000003400300023,2015,2014,1
020000003400300024,2015,2014,1
020000003400300026,2015,2014,1
020000003400300028,2015,2014,1
020000003400300029,2015,2014,1
020000003400300036,2015,2014,1
020000003400300037,2015,2014,1
020000003400300038,2015,2014,1
020000003400300041,2015,2014,1
020000003400300043,2015,2014,1
020000003400300046,2015,2014,1
020000003400300052,2015,2014,1
020000003400300060,2015,2014,1
020000003400300076,2015,2014,1
020000003400300080,2015,2014,1
020000003400300086,2015,2014,1
020000003400300087,2015,2014,1
020000003400300090,2015,2014,1
020000003400300091,2015,2014,1
020000003400300092,2015,2014,1
020000003400300093,2015,2014,1
020000003400300095,2015,2014,1
020000003400300098,2015,2014,1
020000003400300103,2015,2014,1
020000003400300105,2015,2014,1
020000003400300106,2015,2014,1
020000003400300108,2015,2014,1
020000003400300114,2015,2014,1
020000003400300116,2015,2014,1
020000003400300119,2015,2014,1
020000003400300123,2015,2014,1
020000003400300129,2015,2014,1
020000003400300133,2015,2014,1
020000003400300134,2015,2014,1
020000003400300137,2015,2014,1
020000003400300139,2015,2014,1
020000003400300140,2015,2014,1
020000003400300143,2015,2014,1
020000003400300144,2015,2014,1
020000003400300145,2015,2014,1
020000003400300146,2015,2014,1
020000003400300147,2015,2014,1
020000003400300149,2015,2014,1
020000003400300150,2015,2014,1
020000003400300152,2015,2014,1
020000003400300154,2015,2014,1
020000003400300156,2015,2014,1
