PGM_SYS_ID,grp,prog_begin_year,ENTERED_YEAR,lag_years
010000000901110001,nsps,2017,2017,0
01000000OCS0000003,gact,2022,2025,3
01000000OCS0000003,nsps,2022,2025,3
01000000OCS0000003,nsr,2022,2025,3
01000000OCS0000003,psd,2022,2025,3
01000000OCS0000003,titlev,2022,2025,3
01000000OCS0000004,gact,2022,2025,3
01000000OCS0000004,nsps,2022,2025,3
01000000OCS0000004,nsr,2022,2025,3
01000000OCS0000004,psd,2022,2025,3
01000000OCS0000005,gact,2023,2025,2
01000000OCS0000005,nsps,2023,2025,2
01000000OCS0000005,nsr,2023,2025,2
01000000OCS0000005,psd,2023,2025,2
01000000OCS0000006,gact,2024,2025,1
01000000OCS0000006,nsps,2024,2025,1
01000000OCS0000006,nsr,2024,2025,1
01000000OCS0000006,psd,2024,2025,1
01000000OCS0000007,gact,2024,2025,1
01000000OCS0000007,nsps,2024,2025,1
01000000OCS0000007,nsr,2024,2025,1
01000000OCS0000007,psd,2024,2025,1
01000000OCS0000007,titlev,2025,2025,0
01000000OCS0000008,gact,2025,2025,0
01000000OCS0000008,nsps,2025,2025,0
01000000OCS0000008,nsr,2025,2025,0
01000000OCS0000008,psd,2025,2025,0
01000000OCS0000008,titlev,2025,2025,0
01000000OCS0000009,mact,2025,2025,0
01000000OCS0000009,nsps,2025,2025,0
01000000OCS0000009,nsr,2025,2025,0
01000000OCS0000009,psd,2025,2025,0
020000000003605590,sip,2017,2017,0
020000003400100006,sip,2014,2015,1
020000003400100007,sip,2014,2015,1
020000003400100009,sip,2014,2015,1
020000003400100011,sip,2014,2015,1
020000003400100012,sip,2014,2015,1
020000003400100013,sip,2014,2015,1
020000003400100014,mact,2014,2015,1
020000003400100014,sip,2014,2015,1
020000003400100019,sip,2014,2015,1
020000003400100020,sip,2014,2015,1
020000003400100021,sip,2014,2015,1
020000003400100022,sip,2014,2015,1
020000003400100024,sip,2014,2015,1
020000003400100027,sip,2014,2015,1
020000003400100028,sip,2014,2015,1
020000003400100034,sip,2014,2015,1
020000003400100035,sip,2014,2015,1
020000003400100036,sip,2014,2015,1
020000003400100042,sip,2014,2015,1
020000003400100046,sip,2014,2015,1
020000003400100047,sip,2014,2015,1
020000003400100056,sip,2014,2015,1
020000003400100057,sip,2014,2015,1
020000003400100060,sip,2014,2015,1
020000003400100062,sip,2014,2015,1
020000003400100063,sip,2014,2015,1
020000003400100064,sip,2014,2015,1
020000003400100065,sip,2014,2015,1
020000003400100066,sip,2014,2015,1
020000003400100068,sip,2014,2015,1
020000003400100069,sip,2014,2015,1
020000003400100070,sip,2014,2015,1
020000003400100071,sip,2014,2015,1
020000003400100072,sip,2014,2015,1
020000003400100073,neshap,2014,2015,1
020000003400100073,sip,2014,2015,1
020000003400100074,sip,2014,2015,1
020000003400100075,sip,2014,2015,1
020000003400100076,sip,2014,2015,1
020000003400100077,sip,2014,2015,1
020000003400100078,sip,2014,2015,1
020000003400100079,sip,2014,2015,1
020000003400100080,sip,2014,2015,1
020000003400100081,sip,2014,2015,1
020000003400100082,sip,2014,2015,1
020000003400100083,sip,2014,2015,1
020000003400100084,sip,2014,2015,1
020000003400100085,sip,2014,2015,1
020000003400100086,sip,2014,2015,1
020000003400100095,sip,2014,2015,1
020000003400100104,sip,2014,2015,1
020000003400100106,sip,2014,2015,1
020000003400100108,sip,2014,2015,1
020000003400100109,sip,2014,2015,1
020000003400100123,nsr,2014,2015,1
020000003400100136,cfc,2014,2015,1
020000003400100137,cfc,2014,2015,1
020000003400100146,cfc,2014,2015,1
020000003400100146,sip,2014,2015,1
020000003400100212,mact,2014,2015,1
020000003400100213,mact,2014,2015,1
020000003400100214,mact,2014,2015,1
020000003400111111,mact,2014,2015,1
020000003400115662,mact,2014,2015,1
020000003400115720,mact,2014,2015,1
020000003400115724,mact,2014,2015,1
020000003400180000,mact,2014,2015,1
020000003400180002,mact,2014,2015,1
020000003400180003,mact,2014,2015,1
020000003400180005,mact,2014,2015,1
020000003400180006,mact,2014,2015,1
020000003400180007,mact,2014,2015,1
020000003400180008,mact,2014,2015,1
020000003400180009,mact,2014,2015,1
020000003400190000,mact,2014,2015,1
020000003400190001,mact,2014,2015,1
020000003400190002,mact,2014,2015,1
020000003400190003,mact,2014,2015,1
020000003400190004,mact,2014,2015,1
020000003400190005,mact,2014,2015,1
020000003400190006,mact,2014,2015,1
020000003400190007,mact,2014,2015,1
020000003400190008,mact,2014,2015,1
020000003400190009,mact,2014,2015,1
020000003400190010,mact,2014,2015,1
020000003400190011,mact,2014,2015,1
020000003400190012,mact,2014,2015,1
020000003400190013,mact,2014,2015,1
020000003400190014,mact,2014,2015,1
020000003400190015,mact,2014,2015,1
020000003400190017,mact,2014,2015,1
020000003400190018,mact,2014,2015,1
020000003400190019,mact,2014,2015,1
020000003400190020,mact,2014,2015,1
020000003400190021,mact,2014,2015,1
020000003400300017,sip,2014,2015,1
020000003400300020,sip,2014,2015,1
020000003400300021,sip,2014,2015,1
020000003400300022,sip,2014,2015,1
020000003400300023,sip,2014,2015,1
020000003400300024,sip,2014,2015,1
020000003400300026,sip,2014,2015,1
020000003400300028,sip,2014,2015,1
020000003400300029,sip,2014,2015,1
020000003400300036,sip,2014,2015,1
020000003400300037,sip,2014,2015,1
020000003400300038,sip,2014,2015,1
020000003400300041,sip,2014,2015,1
020000003400300043,sip,2014,2015,1
020000003400300046,sip,2014,2015,1
020000003400300052,sip,2014,2015,1
020000003400300060,sip,2014,2015,1
020000003400300076,sip,2014,2015,1
020000003400300080,sip,2014,2015,1
020000003400300086,sip,2014,2015,1
020000003400300087,sip,2014,2015,1
020000003400300090,sip,2014,2015,1
020000003400300091,sip,2014,2015,1
020000003400300092,sip,2014,2015,1
020000003400300093,sip,2014,2015,1
020000003400300095,sip,2014,2015,1
020000003400300098,sip,2014,2015,1
020000003400300103,sip,2014,2015,1
020000003400300105,sip,2014,2015,1
020000003400300106,sip,2014,2015,1
020000003400300108,sip,2014,2015,1
020000003400300114,sip,2014,2015,1
020000003400300116,sip,2014,2015,1
020000003400300119,sip,2014,2015,1
020000003400300123,sip,2014,2015,1
020000003400300129,sip,2014,2015,1
020000003400300133,sip,2014,2015,1
020000003400300134,sip,2014,2015,1
020000003400300137,sip,2014,2015,1
020000003400300139,sip,2014,2015,1
020000003400300140,sip,2014,2015,1
020000003400300143,sip,2014,2015,1
020000003400300144,sip,2014,2015,1
020000003400300145,sip,2014,2015,1
020000003400300146,sip,2014,2015,1
020000003400300147,sip,2014,2015,1
020000003400300149,sip,2014,2015,1
020000003400300150,sip,2014,2015,1
020000003400300152,sip,2014,2015,1
020000003400300154,sip,2014,2015,1
020000003400300156,sip,2014,2015,1
020000003400300158,sip,2014,2015,1
020000003400300161,sip,2014,2015,1
020000003400300162,sip,2014,2015,1
020000003400300164,sip,2014,2015,1
020000003400300168,sip,2014,2015,1
020000003400300169,sip,2014,2015,1
020000003400300170,sip,2014,2015,1
020000003400300175,sip,2014,2015,1
020000003400300182,sip,2014,2015,1
020000003400300183,sip,2014,2015,1
020000003400300188,sip,2014,2015,1
020000003400300189,sip,2014,2015,1
020000003400300190,sip,2014,2015,1
020000003400300192,sip,2014,2015,1
020000003400300193,sip,2014,2015,1
020000003400300194,sip,2014,2015,1
020000003400300196,sip,2014,2015,1
020000003400300203,sip,2014,2015,1
020000003400300206,sip,2014,2015,1
020000003400300209,sip,2014,2015,1
020000003400300211,sip,2014,2015,1
020000003400300213,sip,2014,2015,1
020000003400300214,sip,2014,2015,1
020000003400300216,sip,2014,2015,1
020000003400300217,sip,2014,2015,1
020000003400300220,sip,2014,2015,1
020000003400300221,sip,2014,2015,1
020000003400300222,sip,2014,2015,1
020000003400300227,sip,2014,2015,1
020000003400300229,sip,2014,2015,1
020000003400300230,sip,2014,2015,1
020000003400300234,sip,2014,2015,1
020000003400300236,sip,2014,2015,1
020000003400300246,sip,2014,2015,1
020000003400300268,sip,2014,2015,1
020000003400300293,sip,2014,2015,1
020000003400300295,sip,2014,2015,1
020000003400300296,sip,2014,2015,1
020000003400300297,sip,2014,2015,1
020000003400300298,sip,2014,2015,1
020000003400300299,sip,2014,2015,1
020000003400300300,sip,2014,2015,1
020000003400300301,sip,2014,2015,1
020000003400300302,sip,2014,2015,1
020000003400300308,sip,2014,2015,1
020000003400300310,sip,2014,2015,1
020000003400300313,cfc,2014,2015,1
020000003400300323,sip,2014,2015,1
020000003400300365,sip,2014,2015,1
020000003400300368,sip,2014,2015,1
020000003400300369,sip,2014,2015,1
020000003400300370,sip,2014,2015,1
020000003400300371,sip,2014,2015,1
020000003400300372,sip,2014,2015,1
020000003400300374,sip,2014,2015,1
020000003400300375,sip,2014,2015,1
020000003400300376,sip,2014,2015,1
020000003400300377,sip,2014,2015,1
020000003400300379,sip,2014,2015,1
020000003400300380,sip,2014,2015,1
020000003400300381,sip,2014,2015,1
020000003400300382,sip,2014,2015,1
020000003400300388,sip,2014,2015,1
020000003400300391,nsr,2014,2015,1
020000003400300444,cfc,2014,2015,1
020000003400300445,cfc,2014,2015,1
020000003400300453,cfc,2014,2015,1
020000003400300454,cfc,2014,2015,1
020000003400300455,cfc,2014,2015,1
020000003400300456,cfc,2014,2015,1
020000003400300462,sip,2014,2015,1
020000003400300497,mact,2014,2015,1
020000003400300498,mact,2014,2015,1
020000003400300499,mact,2014,2015,1
020000003400300500,mact,2014,2015,1
020000003400300502,cfc,2014,2015,1
020000003400300503,cfc,2014,2015,1
020000003400301116,sip,2014,2015,1
020000003400301121,sip,2014,2015,1
020000003400301122,sip,2014,2015,1
020000003400301123,sip,2014,2015,1
020000003400301691,neshap,2014,2015,1
020000003400301691,sip,2014,2015,1
020000003400302060,sip,2014,2015,1
020000003400302491,neshap,2014,2015,1
020000003400302491,sip,2014,2015,1
020000003400302500,neshap,2014,2015,1
020000003400302500,sip,2014,2015,1
020000003400302657,sip,2014,2015,1
020000003400303105,neshap,2014,2015,1
020000003400303105,sip,2014,2015,1
020000003400309989,mact,2014,2015,1
020000003400309990,mact,2014,2015,1
020000003400309993,mact,2014,2015,1
020000003400309995,mact,2014,2015,1
020000003400309996,mact,2014,2015,1
020000003400309998,mact,2014,2015,1
020000003400310001,sip,2014,2015,1
020000003400310332,mact,2014,2015,1
020000003400310332,sip,2014,2015,1
020000003400310333,mact,2014,2015,1
020000003400311112,sip,2014,2015,1
020000003400311113,sip,2014,2015,1
020000003400315664,mact,2014,2015,1
020000003400315667,mact,2014,2015,1
020000003400315670,mact,2014,2015,1
020000003400315671,mact,2014,2015,1
020000003400315678,mact,2014,2015,1
020000003400315688,mact,2014,2015,1
020000003400315692,mact,2014,2015,1
020000003400315694,mact,2014,2015,1
020000003400315695,mact,2014,2015,1
020000003400315696,mact,2014,2015,1
020000003400315704,mact,2014,2015,1
020000003400315722,mact,2014,2015,1
020000003400315725,mact,2014,2015,1
020000003400315729,mact,2014,2015,1
020000003400315761,mact,2014,2015,1
020000003400315776,mact,2014,2015,1
020000003400315794,mact,2014,2015,1
020000003400315799,mact,2014,2015,1
020000003400315800,mact,2014,2015,1
020000003400315801,mact,2014,2015,1
020000003400323476,mact,2014,2015,1
020000003400331748,mact,2014,2015,1
020000003400332455,mact,2014,2015,1
020000003400332574,mact,2014,2015,1
020000003400335487,mact,2014,2015,1
020000003400336875,mact,2014,2015,1
020000003400340000,mact,2014,2015,1
020000003400340001,mact,2014,2015,1
020000003400353213,mact,2014,2015,1
020000003400356005,mact,2014,2015,1
020000003400356432,mact,2014,2015,1
020000003400356439,mact,2014,2015,1
020000003400357462,mact,2014,2015,1
020000003400363543,mact,2014,2015,1
020000003400365417,mact,2014,2015,1
020000003400380000,mact,2014,2015,1
020000003400380001,mact,2014,2015,1
020000003400380002,mact,2014,2015,1
020000003400380003,mact,2014,2015,1
020000003400380004,mact,2014,2015,1
020000003400380005,mact,2014,2015,1
020000003400380006,mact,2014,2015,1
020000003400380007,mact,2014,2015,1
020000003400380008,mact,2014,2015,1
020000003400380009,mact,2014,2015,1
020000003400380010,mact,2014,2015,1
020000003400380011,mact,2014,2015,1
020000003400380013,mact,2014,2015,1
020000003400380014,mact,2014,2015,1
020000003400380015,mact,2014,2015,1
020000003400380016,mact,2014,2015,1
020000003400380017,mact,2014,2015,1
020000003400380018,mact,2014,2015,1
020000003400380020,mact,2014,2015,1
020000003400380021,mact,2014,2015,1
020000003400380022,mact,2014,2015,1
020000003400380024,mact,2014,2015,1
020000003400380026,mact,2014,2015,1
020000003400380027,mact,2014,2015,1
020000003400380028,mact,2014,2015,1
020000003400380029,mact,2014,2015,1
020000003400380031,mact,2014,2015,1
020000003400380032,mact,2014,2015,1
020000003400380033,mact,2014,2015,1
020000003400380034,mact,2014,2015,1
020000003400380035,mact,2014,2015,1
020000003400380036,mact,2014,2015,1
020000003400380038,mact,2014,2015,1
020000003400380039,mact,2014,2015,1
020000003400380040,mact,2014,2015,1
020000003400380041,mact,2014,2015,1
020000003400380043,mact,2014,2015,1
020000003400380044,mact,2014,2015,1
020000003400380045,mact,2014,2015,1
020000003400380046,mact,2014,2015,1
020000003400380048,mact,2014,2015,1
020000003400380049,mact,2014,2015,1
020000003400380051,mact,2014,2015,1
020000003400380052,mact,2014,2015,1
020000003400380053,mact,2014,2015,1
020000003400380054,mact,2014,2015,1
020000003400380055,mact,2014,2015,1
020000003400390000,mact,2014,2015,1
020000003400390001,mact,2014,2015,1
020000003400390002,mact,2014,2015,1
020000003400390003,mact,2014,2015,1
020000003400390004,mact,2014,2015,1
020000003400390005,mact,2014,2015,1
020000003400390006,mact,2014,2015,1
020000003400390007,mact,2014,2015,1
020000003400390008,mact,2014,2015,1
020000003400390009,mact,2014,2015,1
020000003400390010,mact,2014,2015,1
020000003400390011,mact,2014,2015,1
020000003400390012,mact,2014,2015,1
020000003400390013,mact,2014,2015,1
020000003400390014,mact,2014,2015,1
020000003400390015,mact,2014,2015,1
020000003400390016,mact,2014,2015,1
020000003400390017,mact,2014,2015,1
020000003400390018,mact,2014,2015,1
020000003400390019,mact,2014,2015,1
020000003400390020,mact,2014,2015,1
020000003400390021,mact,2014,2015,1
020000003400390022,mact,2014,2015,1
020000003400390023,mact,2014,2015,1
020000003400390024,mact,2014,2015,1
020000003400390025,mact,2014,2015,1
020000003400390026,mact,2014,2015,1
020000003400390027,mact,2014,2015,1
020000003400390028,mact,2014,2015,1
