STATE,n_total,n_match,n_mismatch,n_name_unresolved,n_ambiguous,n_no_coordinate,match_rate
WI,1005,666,289,8,0,42,0.6974
NY,7136,5827,1033,127,0,149,0.8494
ND,891,623,69,28,0,171,0.9003
DE,361,328,29,0,0,4,0.9188
TX,4020,3018,158,14,0,830,0.9503
ID,1380,969,42,35,0,334,0.9585
AZ,522,376,16,6,0,124,0.9592
WV,1217,908,37,8,0,264,0.9608
VA,6599,5622,228,302,0,447,0.961
SD,575,308,11,5,0,251,0.9655
NE,1687,1542,48,11,0,86,0.9698
MN,1832,1745,54,4,0,29,0.97
AR,1949,1679,51,27,0,192,0.9705
SC,2731,2431,73,28,0,199,0.9708
NM,2151,1187,34,71,0,859,0.9722
AL,2117,1757,50,49,0,261,0.9723
WY,568,289,8,0,0,271,0.9731
GA,2225,2095,56,43,0,31,0.974
OH,8198,7262,186,26,0,724,0.975
MS,910,794,20,1,0,95,0.9754
IN,2124,1945,46,0,0,133,0.9769
KY,828,783,18,2,0,25,0.9775
ME,803,688,15,0,0,100,0.9787
OR,284,276,6,0,0,2,0.9787
IA,3854,3588,76,35,0,155,0.9793
LA,4991,1949,39,16,0,2987,0.9804
WA,752,709,14,16,0,13,0.9806
UT,654,480,9,25,0,140,0.9816
KS,3244,2784,50,46,0,364,0.9824
CO,9587,6652,114,646,0,2175,0.9832
MO,4318,3553,60,61,0,644,0.9834
MI,2156,2088,35,2,0,31,0.9835
MA,3651,3561,49,0,0,41,0.9864
NJ,3424,3047,40,166,0,171,0.987
TN,3131,2946,36,37,0,112,0.9879
NC,3968,3743,45,2,0,178,0.9881
CA,2399,2169,26,19,0,185,0.9882
PA,7750,7277,84,41,0,348,0.9886
IL,6637,6550,57,3,0,27,0.9914
FL,4588,3716,31,641,0,200,0.9917
MD,3885,3463,26,360,0,36,0.9925
NH,944,918,6,0,0,20,0.9935
OK,10787,9841,49,0,0,897,0.995
VT,228,205,1,0,0,22,0.9951
RI,352,335,0,10,0,7,1
DC,308,301,0,1,0,6,1
NV,185,155,0,10,0,20,1
MT,160,134,0,1,0,25,1
CT,1147,0,0,1129,0,18,
PR,431,0,0,0,0,431,
HI,177,0,0,0,0,177,
GU,30,0,0,0,0,30,
AK,607,0,0,7,0,600,
MP,8,0,0,0,0,8,
VI,39,0,0,0,0,39,
