STATE,n_facilities,pct_has_coordinate,pct_gross_error
CO,32397,0.712,0.005
IL,28445,0.932,0.001
OK,18359,0.918,0.002
LA,13834,0.291,0.008
NY,12623,0.972,0.073
PA,11406,0.903,0.004
MD,11119,0.989,0.002
OH,10919,0.907,0.01
VA,10231,0.92,0.026
NM,8783,0.573,0.01
TX,7738,0.747,0.019
KS,7504,0.788,0.009
GA,7458,0.973,0.011
NJ,7152,0.912,0.007
NE,7041,0.896,0.007
FL,6876,0.926,0.005
MO,6863,0.821,0.007
IA,6235,0.932,0.007
UT,6175,0.974,0.015
MA,5255,0.986,0.01
NC,4135,0.948,0.002
TN,4088,0.937,0.004
MN,3640,0.939,0.013
MI,3487,0.966,0.006
SC,3436,0.884,0.011
CT,3187,0.967,
CA,2916,0.927,0.005
AL,2884,0.847,0.005
IN,2478,0.927,0.008
AR,2459,0.845,0.018
ND,1858,0.822,0.061
ID,1817,0.77,0.017
MS,1690,0.835,0.018
NH,1626,0.954,0.001
ME,1418,0.795,0.013
WV,1393,0.754,0.018
WI,1202,0.941,0.278
KY,1006,0.901,0.006
WA,946,0.985,0.003
WY,863,0.49,0.026
SD,756,0.533,0.018
AZ,739,0.763,0.034
RI,717,0.948,0
AK,692,0.962,0.068
DC,636,0.962,0
PR,623,0.639,
OR,434,0.975,0.01
DE,427,0.986,0.074
VT,367,0.847,0
NV,245,0.902,0
MT,236,0.856,0
HI,222,0.622,0
VI,126,0.468,
GU,38,0.579,
MP,11,0.364,
