YEAR,n_obs,voc_lbs,pm10_lbs,pm25_lbs,nox_lbs,so2_lbs,co_lbs,hap_lbs,n_ghg_obs,ghg_mtco2e
2008,31037,1829077272.9753,1763649147.4999,1293729632.38443,8242134304.03472,16597391592.2707,7487933799.05541,658227641.267542,,
2011,36703,1673126188.29084,1301417271.87616,919980464.289561,6221057070.8169,9379177975.78819,6856071187.83871,556302721.454985,,
2014,30551,1631582341.09731,1183613457.86746,862942105.233164,5444468255.20193,7421317008.30971,5963879501.88174,523307067.642804,,
2015,15570,0,0,0,3195658322,5157193276,0,0,4883,2904871397.32119
2016,15319,0,0,0,2858290676,3645467916,0,0,4871,2882577329.22851
2017,33741,1503389046.48719,942450866.86291,680401282.025262,6583434427.22328,7131560977.02305,5082424731.95257,407465782.627192,4794,2799568557.84301
2018,15010,0,0,0,2434763152,3095597026,0,0,4821,2830292110.32428
2019,14833,0,0,0,2092950170,2425193496,0,0,4783,2676724834.74772
2020,32738,1414770245.80162,828970887.06085,595221046.02631,5001166863.4945,4398521794.70075,3984623283.18771,355897388.436687,4748,2418046039.11507
2021,14250,0,0,0,1860871022,2423165648,0,0,4708,2532691760.8058
2022,14318,0,0,0,1778030104,2204856960,0,0,4677,2484279779.51822
2023,14044,0,0,0,1517827360,1694889998,0,0,4617,2353624177.94172
2024,13692,0,0,0,1543958960,1587570806,0,0,,
