YEAR,n_known,n_active,n_na,pct_active,pct_na
2005,39110,3296,240555,0.0843,0.8602
2006,40202,3221,239463,0.0801,0.8562
2007,39711,3093,239954,0.0779,0.858
2008,39410,2968,240255,0.0753,0.8591
2009,41772,2776,237893,0.0665,0.8506
2010,40305,2364,239360,0.0587,0.8559
2011,40969,2129,238696,0.052,0.8535
2012,40686,1913,238979,0.047,0.8545
2013,39837,1793,239828,0.045,0.8576
2014,38415,1474,241250,0.0384,0.8626
2015,35216,1181,244449,0.0335,0.8741
2016,33512,1091,246153,0.0326,0.8802
2017,32348,962,247317,0.0297,0.8843
2018,32269,980,247396,0.0304,0.8846
2019,31271,982,248394,0.0314,0.8882
2020,28916,953,250749,0.033,0.8966
2021,30271,1013,249394,0.0335,0.8918
2022,30425,969,249240,0.0318,0.8912
2023,30121,917,249544,0.0304,0.8923
2024,30284,761,249381,0.0251,0.8917
2025,29587,581,250078,0.0196,0.8942
