DAYZERO_YEAR,N,in_range
218,1,FALSE
1975,1,TRUE
1976,1,TRUE
1978,1,TRUE
1982,3,TRUE
1983,3,TRUE
1984,5,TRUE
1985,9,TRUE
1986,8,TRUE
1987,26,TRUE
1988,30,TRUE
1989,46,TRUE
1990,77,TRUE
1991,169,TRUE
1992,443,TRUE
1993,788,TRUE
1994,813,TRUE
1995,866,TRUE
1996,1082,TRUE
1997,1806,TRUE
1998,2189,TRUE
1999,1739,TRUE
2000,1824,TRUE
2001,1793,TRUE
2002,2025,TRUE
2003,1982,TRUE
2004,1979,TRUE
2005,1674,TRUE
2006,1759,TRUE
2007,1881,TRUE
2008,1877,TRUE
2009,1573,TRUE
2010,1323,TRUE
2011,1220,TRUE
2012,1130,TRUE
2013,1027,TRUE
2014,822,TRUE
2015,970,TRUE
2016,1005,TRUE
2017,796,TRUE
2018,822,TRUE
2019,944,TRUE
2020,777,TRUE
2021,1008,TRUE
2022,1233,TRUE
2023,1285,TRUE
2024,852,TRUE
2025,790,TRUE
2026,267,FALSE
