n_spells,N
1,8958
2,2967
3,1325
4,749
5,444
6,267
7,190
8,124
9,89
10,68
11,61
12,51
13,39
14,31
15,27
16,20
17,17
18,19
19,14
20,17
21,10
22,8
23,9
24,6
25,5
26,8
27,9
28,5
29,8
30,5
31,6
32,1
33,3
34,6
35,2
36,5
37,4
38,3
39,4
40,1
41,4
42,4
43,2
44,5
45,2
46,1
47,1
48,2
49,1
50,2
52,1
54,1
57,2
58,2
59,1
60,1
62,1
63,1
64,1
65,1
70,2
72,1
74,1
75,1
77,1
78,1
84,1
86,1
87,1
92,1
94,1
95,2
98,1
101,1
103,1
106,1
109,1
121,1
139,1
151,1
156,1
171,1
187,1
263,1
282,1
283,1
286,2
298,1
327,1
328,1
504,1
816,1
