STATE_CODE,n_spells,n_facilities
CA,14013,1334
TX,3329,1006
IN,1584,692
NJ,1573,475
NY,1422,830
PA,1364,465
IL,1334,796
OH,1290,779
TN,981,442
SC,947,455
NC,865,321
OK,838,568
GA,803,407
AL,759,383
FL,759,371
WI,711,316
LA,656,375
WA,617,152
MN,529,299
AR,512,282
MI,509,388
CO,472,230
MO,354,272
VA,350,188
KY,328,167
MS,308,219
CT,300,195
OR,287,111
MA,254,178
KS,249,189
IA,244,149
NM,210,138
MD,208,97
WY,200,72
ID,183,105
NV,172,42
NE,166,104
MT,165,50
UT,164,61
AZ,150,81
HI,150,76
AK,140,88
RI,133,77
DE,128,54
ME,115,61
WV,114,70
NH,104,80
DC,83,36
SD,44,37
PR,28,22
ND,12,11
VT,9,8
VI,4,4
