class,year,share_hpv,n
Major,2015,0.0679705033664636,12476
Major,2016,0.0636128323790101,12749
Major,2017,0.0565309818124557,12701
Major,2018,0.0559623834117012,12973
Major,2019,0.0552686348570107,12973
Major,2020,0.0537593118808079,13021
Major,2021,0.0561365733620425,13004
Major,2022,0.0535209113846624,13079
Major,2023,0.0506184150251947,13098
Major,2024,0.042540168324407,13070
Major,2025,0.032739010144482,13012
Synthetic Minor,2015,0.00771001766879049,18677
Synthetic Minor,2016,0.00664514904119992,21068
Synthetic Minor,2017,0.00661621209957637,21009
Synthetic Minor,2018,0.00754369825206992,21740
Synthetic Minor,2019,0.00712971481140754,21740
Synthetic Minor,2020,0.00664136622390892,22134
Synthetic Minor,2021,0.00778732545649839,22344
Synthetic Minor,2022,0.00729701043693614,22612
Synthetic Minor,2023,0.00676893323370401,22751
Synthetic Minor,2024,0.00578965697370712,22972
Synthetic Minor,2025,0.00403313239949694,23059
