class,sector,N
Synthetic Minor,Manufacturing,11326
Major,Manufacturing,6453
Synthetic Minor,Mining & extraction,5775
Major,Utilities,2375
Major,Mining & extraction,1650
Major,Transport & warehousing,1451
Synthetic Minor,Transport & warehousing,1305
Major,Admin & waste services,1085
Synthetic Minor,Wholesale trade,1067
Synthetic Minor,Utilities,1005
Synthetic Minor,Other / unclassified,985
Synthetic Minor,Other services,888
Synthetic Minor,Health care,709
Synthetic Minor,Real estate,701
Synthetic Minor,Education,399
Synthetic Minor,Public administration,369
Major,Wholesale trade,330
Synthetic Minor,Information,327
Synthetic Minor,Admin & waste services,271
Synthetic Minor,Professional services,237
Synthetic Minor,Agriculture,210
Major,Public administration,197
Major,Other / unclassified,193
Synthetic Minor,Construction,173
Major,Education,147
Major,Health care,115
Synthetic Minor,Finance & insurance,100
Synthetic Minor,Retail trade,96
Major,Professional services,58
Synthetic Minor,Arts & recreation,43
Major,Agriculture,42
Major,Construction,39
Major,Information,38
Major,Retail trade,37
Synthetic Minor,Accommodation & food,37
Major,Other services,32
Major,Real estate,21
Major,Accommodation & food,13
Synthetic Minor,Management of companies,9
Major,Arts & recreation,8
Major,Finance & insurance,5
Synthetic Minor,No NAICS code,1
Major,Management of companies,1
Major,No NAICS code,1
