class,program,share,n
Major,SIP,0.902360786741326,142156
Synthetic Minor,SIP,0.94896004264783,240106
Major,Title V,0.915768592250767,142156
Synthetic Minor,Title V,0.0332144969305224,240106
Major,NSPS,0.587495427558457,142156
Synthetic Minor,NSPS,0.37648371969047,240106
Major,MACT,0.611236950955289,142156
Synthetic Minor,MACT,0.283074975219278,240106
Major,NESHAP,0.0878401193055517,142156
Synthetic Minor,NESHAP,0.00677200902934537,240106
Major,FESOP,0.0186696305467233,142156
Synthetic Minor,FESOP,0.198224950646798,240106
Major,NSR,0.103681870621008,142156
Synthetic Minor,NSR,0.0620767494356659,240106
Major,PSD,0.209185683333802,142156
Synthetic Minor,PSD,0.0231939226841478,240106
