measure,class,n,mean,sd,p50,p90,p99,max,share_zero,total,total_dup
Inspections,All,382262,1.0291,2.4118,0,2,10,122,0.5493,393394,361
Violations,All,382262,0.0986,0.8748,0,0,2,277,0.9329,37678,
HPV,All,382262,0.0253,0.6922,0,0,1,237,0.9875,9670,
Enforcement,All,382262,0.2335,2.0169,0,0,4,555,0.9158,89246,31670
Certifications,All,382262,2.4943,14.5067,0,5,10,850,0.6793,953490,765450
Stack tests,All,382262,0.7689,10.9311,0,1,12,2609,0.8577,293921,
Inspections,Major,142156,1.6513,3.5085,1,4,16,122,0.4048,234745,303
Inspections,Synthetic Minor,240106,0.6607,1.268,0,2,6,63,0.6349,158649,58
Violations,Major,142156,0.1742,1.3838,0,1,3,277,0.8976,24765,
Violations,Synthetic Minor,240106,0.0538,0.2815,0,0,1,18,0.9539,12913,
HPV,Major,142156,0.0605,1.1276,0,0,1,237,0.9723,8596,
HPV,Synthetic Minor,240106,0.0045,0.0944,0,0,0,13,0.9965,1074,
Enforcement,Major,142156,0.4148,3.1951,0,1,6,555,0.8701,58970,20002
Enforcement,Synthetic Minor,240106,0.1261,0.6336,0,0,3,63,0.9428,30276,11668
Certifications,Major,142156,6.0638,22.4885,5,5,25,850,0.2335,862005,692130
Certifications,Synthetic Minor,240106,0.381,4.8588,0,0,5,660,0.9432,91485,73320
Stack tests,Major,142156,1.6981,17.6657,0,3,24,2609,0.7526,241391,
Stack tests,Synthetic Minor,240106,0.2188,2.1573,0,0,5,584,0.92,52530,
