YEAR,n_facility_years,pct_wayback_observed,pct_operating,pct_begin_year_le
2005,279211,0,,0.024
2006,279211,0,,0.025
2007,279211,0,,0.027
2008,279211,0,,0.028
2009,279211,0,,0.03
2010,279211,0,,0.033
2011,279211,0,,0.038
2012,279211,0,,0.042
2013,279211,0,,0.047
2014,279211,0,,0.614
2015,279211,0.761,0.731,0.715
2016,279211,0.825,0.731,0.74
2017,279211,0.831,0.728,0.763
2018,279211,0,,0.787
2019,279211,0.879,0.726,0.805
2020,279211,0.9,0.725,0.82
2021,279211,0.912,0.723,0.832
2022,279211,0.923,0.721,0.853
2023,279211,0.929,0.72,0.869
2024,279211,0.94,0.713,0.886
2025,279211,0.95,0.71,0.934
