measure,YEAR,total,AGENCY,n,share
N_INSPECTIONS,2015,38322,EPA,1435,0.0374
N_INSPECTIONS,2016,39911,EPA,1129,0.0283
N_INSPECTIONS,2017,34877,EPA,867,0.0249
N_INSPECTIONS,2018,34660,EPA,800,0.0231
N_INSPECTIONS,2019,36571,EPA,637,0.0174
N_INSPECTIONS,2020,35744,EPA,583,0.0163
N_INSPECTIONS,2021,36221,EPA,459,0.0127
N_INSPECTIONS,2022,35707,EPA,528,0.0148
N_INSPECTIONS,2023,35538,EPA,575,0.0162
N_INSPECTIONS,2024,34856,EPA,487,0.014
N_INSPECTIONS,2025,33078,EPA,381,0.0115
N_ENFORCEMENT,2015,8185,EPA,277,0.0338
N_ENFORCEMENT,2016,8322,EPA,260,0.0312
N_ENFORCEMENT,2017,7474,EPA,318,0.0425
N_ENFORCEMENT,2018,8086,EPA,217,0.0268
N_ENFORCEMENT,2019,8457,EPA,291,0.0344
N_ENFORCEMENT,2020,6805,EPA,330,0.0485
N_ENFORCEMENT,2021,8086,EPA,329,0.0407
N_ENFORCEMENT,2022,9010,EPA,395,0.0438
N_ENFORCEMENT,2023,9887,EPA,396,0.0401
N_ENFORCEMENT,2024,8648,EPA,345,0.0399
N_ENFORCEMENT,2025,8248,EPA,289,0.035
N_INSPECTIONS,2015,38322,state,31635,0.8255
N_INSPECTIONS,2016,39911,state,31557,0.7907
N_INSPECTIONS,2017,34877,state,29632,0.8496
N_INSPECTIONS,2018,34660,state,29971,0.8647
N_INSPECTIONS,2019,36571,state,31286,0.8555
N_INSPECTIONS,2020,35744,state,31212,0.8732
N_INSPECTIONS,2021,36221,state,32305,0.8919
N_INSPECTIONS,2022,35707,state,31243,0.875
N_INSPECTIONS,2023,35538,state,30157,0.8486
N_INSPECTIONS,2024,34856,state,29794,0.8548
N_INSPECTIONS,2025,33078,state,28386,0.8582
N_ENFORCEMENT,2015,8185,state,5288,0.6461
N_ENFORCEMENT,2016,8322,state,5350,0.6429
N_ENFORCEMENT,2017,7474,state,5353,0.7162
N_ENFORCEMENT,2018,8086,state,5613,0.6942
N_ENFORCEMENT,2019,8457,state,5592,0.6612
N_ENFORCEMENT,2020,6805,state,4759,0.6993
N_ENFORCEMENT,2021,8086,state,5164,0.6386
N_ENFORCEMENT,2022,9010,state,5336,0.5922
N_ENFORCEMENT,2023,9887,state,6109,0.6179
N_ENFORCEMENT,2024,8648,state,5948,0.6878
N_ENFORCEMENT,2025,8248,state,6010,0.7287
N_INSPECTIONS,2015,38322,local,5252,0.137
N_INSPECTIONS,2016,39911,local,7225,0.181
N_INSPECTIONS,2017,34877,local,4378,0.1255
N_INSPECTIONS,2018,34660,local,3889,0.1122
N_INSPECTIONS,2019,36571,local,4648,0.1271
N_INSPECTIONS,2020,35744,local,3949,0.1105
N_INSPECTIONS,2021,36221,local,3457,0.0954
N_INSPECTIONS,2022,35707,local,3936,0.1102
N_INSPECTIONS,2023,35538,local,4806,0.1352
N_INSPECTIONS,2024,34856,local,4575,0.1313
N_INSPECTIONS,2025,33078,local,4311,0.1303
N_ENFORCEMENT,2015,8185,local,2620,0.3201
N_ENFORCEMENT,2016,8322,local,2712,0.3259
N_ENFORCEMENT,2017,7474,local,1803,0.2412
N_ENFORCEMENT,2018,8086,local,2256,0.279
N_ENFORCEMENT,2019,8457,local,2574,0.3044
N_ENFORCEMENT,2020,6805,local,1716,0.2522
N_ENFORCEMENT,2021,8086,local,2593,0.3207
N_ENFORCEMENT,2022,9010,local,3279,0.3639
N_ENFORCEMENT,2023,9887,local,3382,0.3421
N_ENFORCEMENT,2024,8648,local,2355,0.2723
N_ENFORCEMENT,2025,8248,local,1949,0.2363
