panel,flag,window,n,share_1,pct_na
Electric,any_inspections,2005-2025,63525,0.682,0.232
Electric,any_violations,2005-2025,63525,0.063,0.232
Electric,any_enforcement,2005-2025,63525,0.097,0.232
Electric,any_certs,2005-2025,63525,0.674,0.232
Electric,emits_voc,2005-2025,63525,0.622,0
Electric,emits_pm,2005-2025,63525,0.7,0
Electric,emits_co,2005-2025,63525,0.704,0
Electric,emits_nox,2005-2025,63525,0.808,0
Electric,emits_so2,2005-2025,63525,0.682,0
Electric,emits_hap,2005-2025,63525,0.402,0
Electric,prog_sip,2005-2025,63525,0.95,0
Electric,prog_titlev,2005-2025,63525,0.769,0
Electric,prog_nsps,2005-2025,63525,0.62,0
Electric,prog_mact,2005-2025,63525,0.506,0
Electric,prog_neshap,2005-2025,63525,0.041,0
Electric,prog_fesop,2005-2025,63525,0.06,0
Electric,prog_nsr,2005-2025,63525,0.167,0
Electric,prog_psd,2005-2025,63525,0.312,0
Electric,prog_sip_active,2015-2025,33275,0.815,0.039
Electric,prog_titlev_active,2015-2025,33275,0.634,0.039
Electric,prog_nsps_active,2015-2025,33275,0.521,0.039
Electric,prog_mact_active,2015-2025,33275,0.434,0.039
Electric,prog_neshap_active,2015-2025,33275,0.022,0.039
Electric,prog_fesop_active,2015-2025,33275,0.036,0.039
Electric,prog_nsr_active,2015-2025,33275,0.115,0.039
Electric,prog_psd_active,2015-2025,33275,0.252,0.039
Electric,operating,2015-2025,33275,0.856,0.04
Electric,hpv_active,2015-2025,33275,0.033,0.161
Electric,hpv_active_1mo,2005-2025,63525,0.065,0.231
Major/SynMin,any_inspections,2005-2025,953883,0.597,0.359
Major/SynMin,any_violations,2005-2025,953883,0.064,0.359
Major/SynMin,any_enforcement,2005-2025,953883,0.107,0.359
Major/SynMin,any_certs,2005-2025,953883,0.389,0.359
Major/SynMin,emits_voc,2005-2025,953883,0.635,0
Major/SynMin,emits_pm,2005-2025,953883,0.565,0
Major/SynMin,emits_co,2005-2025,953883,0.486,0
Major/SynMin,emits_nox,2005-2025,953883,0.559,0
Major/SynMin,emits_so2,2005-2025,953883,0.426,0
Major/SynMin,emits_hap,2005-2025,953883,0.368,0
Major/SynMin,prog_sip,2005-2025,953883,0.936,0
Major/SynMin,prog_titlev,2005-2025,953883,0.434,0
Major/SynMin,prog_nsps,2005-2025,953883,0.47,0
Major/SynMin,prog_mact,2005-2025,953883,0.408,0
Major/SynMin,prog_neshap,2005-2025,953883,0.051,0
Major/SynMin,prog_fesop,2005-2025,953883,0.157,0
Major/SynMin,prog_nsr,2005-2025,953883,0.098,0
Major/SynMin,prog_psd,2005-2025,953883,0.1,0
Major/SynMin,prog_sip_active,2015-2025,499653,0.777,0.074
Major/SynMin,prog_titlev_active,2015-2025,499653,0.303,0.074
Major/SynMin,prog_nsps_active,2015-2025,499653,0.381,0.074
Major/SynMin,prog_mact_active,2015-2025,499653,0.34,0.074
Major/SynMin,prog_neshap_active,2015-2025,499653,0.031,0.074
Major/SynMin,prog_fesop_active,2015-2025,499653,0.109,0.074
Major/SynMin,prog_nsr_active,2015-2025,499653,0.064,0.074
Major/SynMin,prog_psd_active,2015-2025,499653,0.077,0.074
Major/SynMin,operating,2015-2025,499653,0.828,0.076
Major/SynMin,hpv_active,2015-2025,499653,0.024,0.222
Major/SynMin,hpv_active_1mo,2005-2025,953883,0.047,0.358
Universe,any_inspections,2005-2025,2839473,0.403,0.464
Universe,any_violations,2005-2025,2839473,0.033,0.464
Universe,any_enforcement,2005-2025,2839473,0.07,0.464
Universe,any_certs,2005-2025,2839473,0.171,0.464
Universe,emits_voc,2005-2025,2839473,0.479,0
Universe,emits_pm,2005-2025,2839473,0.442,0
Universe,emits_co,2005-2025,2839473,0.324,0
Universe,emits_nox,2005-2025,2839473,0.382,0
Universe,emits_so2,2005-2025,2839473,0.247,0
Universe,emits_hap,2005-2025,2839473,0.226,0
Universe,prog_sip,2005-2025,2839473,0.902,0
Universe,prog_titlev,2005-2025,2839473,0.182,0
Universe,prog_nsps,2005-2025,2839473,0.312,0
Universe,prog_mact,2005-2025,2839473,0.294,0
Universe,prog_neshap,2005-2025,2839473,0.022,0
Universe,prog_fesop,2005-2025,2839473,0.078,0
Universe,prog_nsr,2005-2025,2839473,0.054,0
Universe,prog_psd,2005-2025,2839473,0.04,0
Universe,prog_sip_active,2015-2025,1487343,0.751,0.084
Universe,prog_titlev_active,2015-2025,1487343,0.113,0.084
Universe,prog_nsps_active,2015-2025,1487343,0.255,0.084
Universe,prog_mact_active,2015-2025,1487343,0.245,0.084
Universe,prog_neshap_active,2015-2025,1487343,0.014,0.084
Universe,prog_fesop_active,2015-2025,1487343,0.051,0.084
Universe,prog_nsr_active,2015-2025,1487343,0.035,0.084
Universe,prog_psd_active,2015-2025,1487343,0.031,0.084
Universe,operating,2015-2025,1487343,0.82,0.095
Universe,hpv_active,2015-2025,1487343,0.009,0.244
Universe,hpv_active_1mo,2005-2025,2839473,0.021,0.463
