panel,variable,level,n,pct
major_synmin,STATE,NY,3374,0.0736
major_synmin,STATE,OK,2948,0.0643
major_synmin,STATE,TX,2550,0.0556
major_synmin,STATE,CO,2368,0.0516
major_synmin,STATE,IA,2301,0.0502
major_synmin,STATE,GA,2086,0.0455
major_synmin,STATE,PA,1916,0.0418
major_synmin,STATE,NM,1898,0.0414
major_synmin,STATE,VA,1644,0.0358
major_synmin,STATE,CA,1637,0.0357
major_synmin,STATE,OH,1598,0.0348
major_synmin,STATE,MI,1591,0.0347
major_synmin,STATE,NJ,1471,0.0321
major_synmin,STATE,IN,1466,0.032
major_synmin,STATE,NC,1244,0.0271
major_synmin,STATE,KS,1123,0.0245
major_synmin,STATE,TN,1115,0.0243
major_synmin,STATE,FL,1097,0.0239
major_synmin,STATE,MA,1086,0.0237
major_synmin,STATE,AR,1021,0.0223
major_synmin,STATE,IL,827,0.018
major_synmin,STATE,AL,814,0.0177
major_synmin,STATE,WI,721,0.0157
major_synmin,STATE,LA,714,0.0156
major_synmin,STATE,SC,714,0.0156
major_synmin,STATE,KY,636,0.0139
major_synmin,STATE,MS,556,0.0121
major_synmin,STATE,MN,426,0.0093
major_synmin,STATE,MO,406,0.0089
major_synmin,STATE,ME,391,0.0085
major_synmin,STATE,AZ,375,0.0082
major_synmin,STATE,MD,349,0.0076
major_synmin,STATE,WV,326,0.0071
major_synmin,STATE,WA,320,0.007
major_synmin,STATE,ID,298,0.0065
major_synmin,STATE,NE,281,0.0061
major_synmin,STATE,CT,247,0.0054
major_synmin,STATE,NH,217,0.0047
major_synmin,STATE,ND,205,0.0045
major_synmin,STATE,VT,187,0.0041
major_synmin,STATE,OR,185,0.004
major_synmin,STATE,UT,181,0.0039
major_synmin,STATE,NV,171,0.0037
major_synmin,STATE,SD,168,0.0037
major_synmin,STATE,DE,163,0.0036
major_synmin,STATE,WY,150,0.0033
major_synmin,STATE,RI,150,0.0033
major_synmin,STATE,MT,108,0.0024
major_synmin,STATE,DC,52,0.0011
major_synmin,EPA_REGION,6,9126,0.1989
major_synmin,EPA_REGION,4,8262,0.1801
major_synmin,EPA_REGION,5,6629,0.1445
major_synmin,EPA_REGION,2,4845,0.1056
major_synmin,EPA_REGION,3,4450,0.097
major_synmin,EPA_REGION,7,4111,0.0896
major_synmin,EPA_REGION,8,3180,0.0693
major_synmin,EPA_REGION,1,2278,0.0497
major_synmin,EPA_REGION,9,2188,0.0477
major_synmin,EPA_REGION,10,803,0.0175
major_synmin,AIR_POLLUTANT_CLASS_DESC,Synthetic Minor Emissions,30728,0.6699
major_synmin,AIR_POLLUTANT_CLASS_DESC,Major Emissions,15144,0.3301
major_synmin,FACILITY_TYPE,Privately owned,22404,0.7383
