panel,YEAR,n_facility_years,pct_event,pct_operating,pct_confirmed_inactive,pct_unobserved
major_synmin,2015,45872,0.473,0.291,0.011,0.225
major_synmin,2016,45872,0.47,0.349,0.029,0.152
major_synmin,2017,45872,0.459,0.369,0.037,0.135
major_synmin,2018,45872,0.458,0.354,0.04,0.148
major_synmin,2019,45872,0.458,0.384,0.056,0.102
major_synmin,2020,45872,0.445,0.419,0.062,0.074
major_synmin,2021,45872,0.455,0.404,0.076,0.064
major_synmin,2022,45872,0.455,0.415,0.084,0.046
major_synmin,2023,45872,0.46,0.416,0.089,0.035
major_synmin,2024,45872,0.459,0.422,0.103,0.016
major_synmin,2025,45872,0.447,0.432,0.12,0.001
electric,2015,2965,0.71,0.19,0.012,0.088
electric,2016,2965,0.699,0.212,0.027,0.062
electric,2017,2965,0.689,0.226,0.035,0.051
electric,2018,2965,0.693,0.205,0.04,0.062
electric,2019,2965,0.672,0.238,0.053,0.037
electric,2020,2965,0.656,0.251,0.061,0.033
electric,2021,2965,0.651,0.247,0.072,0.03
electric,2022,2965,0.635,0.259,0.083,0.024
electric,2023,2965,0.645,0.246,0.089,0.02
electric,2024,2965,0.625,0.253,0.108,0.014
electric,2025,2965,0.605,0.265,0.128,0.001
