GROUP,YEAR,measure,n_obs,mean
electric,2015,N_CERTS,2105,4.58
electric,2016,N_CERTS,2073,7.03
electric,2017,N_CERTS,2042,10.49
electric,2018,N_CERTS,2054,11.75
electric,2019,N_CERTS,1993,10.35
electric,2020,N_CERTS,1944,5.96
electric,2021,N_CERTS,1930,5.84
electric,2022,N_CERTS,1882,5.05
electric,2023,N_CERTS,1912,4.53
electric,2024,N_CERTS,1853,4.59
electric,2025,N_CERTS,1795,4.66
other,2015,N_CERTS,19613,3.05
other,2016,N_CERTS,19476,4.76
other,2017,N_CERTS,19005,5.64
other,2018,N_CERTS,18969,6.31
other,2019,N_CERTS,19010,5.02
other,2020,N_CERTS,18484,3.35
other,2021,N_CERTS,18964,3.13
other,2022,N_CERTS,18976,2.93
other,2023,N_CERTS,19170,2.82
other,2024,N_CERTS,19186,2.89
other,2025,N_CERTS,18701,2.99
electric,2015,N_ENFORCEMENT,2105,0.28
electric,2016,N_ENFORCEMENT,2073,0.27
electric,2017,N_ENFORCEMENT,2042,0.21
electric,2018,N_ENFORCEMENT,2054,0.26
electric,2019,N_ENFORCEMENT,1993,0.24
electric,2020,N_ENFORCEMENT,1944,0.19
electric,2021,N_ENFORCEMENT,1930,0.23
electric,2022,N_ENFORCEMENT,1882,0.31
electric,2023,N_ENFORCEMENT,1912,0.35
electric,2024,N_ENFORCEMENT,1853,0.27
electric,2025,N_ENFORCEMENT,1795,0.26
other,2015,N_ENFORCEMENT,19613,0.39
other,2016,N_ENFORCEMENT,19476,0.4
other,2017,N_ENFORCEMENT,19005,0.37
other,2018,N_ENFORCEMENT,18969,0.4
other,2019,N_ENFORCEMENT,19010,0.42
other,2020,N_ENFORCEMENT,18484,0.35
other,2021,N_ENFORCEMENT,18964,0.4
other,2022,N_ENFORCEMENT,18976,0.44
other,2023,N_ENFORCEMENT,19170,0.48
other,2024,N_ENFORCEMENT,19186,0.42
other,2025,N_ENFORCEMENT,18701,0.42
electric,2015,N_FORMAL,2105,0.09
electric,2016,N_FORMAL,2073,0.08
electric,2017,N_FORMAL,2042,0.07
electric,2018,N_FORMAL,2054,0.07
electric,2019,N_FORMAL,1993,0.07
electric,2020,N_FORMAL,1944,0.05
electric,2021,N_FORMAL,1930,0.07
electric,2022,N_FORMAL,1882,0.09
electric,2023,N_FORMAL,1912,0.09
electric,2024,N_FORMAL,1853,0.08
electric,2025,N_FORMAL,1795,0.05
