measure,GROUP,n_obs,mean,median
N_CERTS,electric,21583,6.87,5
N_CERTS,other,209554,3.9,5
N_ENFORCEMENT,electric,21583,0.26,0
N_ENFORCEMENT,other,209554,0.41,0
N_FORMAL,electric,21583,0.07,0
N_FORMAL,other,209554,0.1,0
N_HPV,electric,21583,0.04,0
N_HPV,other,209554,0.04,0
N_INFORMAL,electric,21583,0.19,0
N_INFORMAL,other,209554,0.31,0
N_INSPECTIONS,electric,21583,2.43,1
N_INSPECTIONS,other,209554,1.64,1
N_PENALTIES,electric,21583,0.07,0
N_PENALTIES,other,209554,0.09,0
N_STACK_TESTS,electric,21583,3.47,0
N_STACK_TESTS,other,209554,0.99,0
N_VIOLATIONS,electric,21583,0.13,0
N_VIOLATIONS,other,209554,0.17,0
