GROUP,EMISSIONS_QUARTILE,measure,n,emissions_median_lbs,mean_value
electric,Q1 (lowest),N_ENFORCEMENT,2512,14304,0.2377
electric,Q2,N_ENFORCEMENT,2512,153548,0.2373
electric,Q3,N_ENFORCEMENT,2511,571944,0.1967
electric,Q4 (highest),N_ENFORCEMENT,2512,8958258.5968,0.3002
other,Q1 (lowest),N_ENFORCEMENT,4203,12964.7857,0.3338
other,Q2,N_ENFORCEMENT,4202,65629.141,0.3398
other,Q3,N_ENFORCEMENT,4202,216133.2039,0.3298
other,Q4 (highest),N_ENFORCEMENT,4202,982789.2795,0.6961
electric,Q1 (lowest),N_INSPECTIONS,2512,14304,2.4574
electric,Q2,N_INSPECTIONS,2512,153548,2.7138
electric,Q3,N_INSPECTIONS,2511,571944,3.3612
electric,Q4 (highest),N_INSPECTIONS,2512,8958258.5968,3.0107
other,Q1 (lowest),N_INSPECTIONS,4203,12964.7857,1.4885
other,Q2,N_INSPECTIONS,4202,65629.141,1.6621
other,Q3,N_INSPECTIONS,4202,216133.2039,1.7208
other,Q4 (highest),N_INSPECTIONS,4202,982789.2795,2.3684
