PGM_SYS_ID,YEAR,TOTAL_CRITERIA_LBS,GROUP,N_INSPECTIONS,N_ENFORCEMENT,EMISSIONS_QUARTILE
020000003606501000,2017,594.8514,other,2,0,Q1 (lowest)
080000004904700001,2015,16226796,electric,1,0,Q4 (highest)
080000004904700001,2016,13758744,electric,0,0,Q4 (highest)
080000004904700001,2017,30059192.8,electric,1,0,Q4 (highest)
080000004904700001,2018,11887456,electric,0,0,Q4 (highest)
080000004904700001,2019,13460814,electric,1,0,Q4 (highest)
080000004904700001,2020,22987532.6,electric,0,0,Q4 (highest)
080000004904700001,2021,9433426,electric,1,0,Q4 (highest)
080000004904700001,2022,11317296,electric,0,0,Q4 (highest)
080000004904700001,2023,10775470,electric,1,0,Q4 (highest)
080000004904700001,2024,9623706,electric,0,0,Q4 (highest)
0900000004015MOH02,2021,170124,electric,0,0,Q2
100000001600900001,2017,1276734.698,other,2,0,Q4 (highest)
100000001600900001,2020,595560.02,other,2,0,Q4 (highest)
100000001600900018,2017,1347661.46,other,2,0,Q4 (highest)
100000001600900018,2020,845975.8,other,1,0,Q4 (highest)
100000001606100002,2017,125605.1765,other,2,0,Q3
100000001606100002,2020,126406.304,other,1,0,Q3
AL0000000100100001,2017,12566332.3,other,3,0,Q4 (highest)
AL0000000100100001,2020,11416198.28,other,2,0,Q4 (highest)
AL0000000100100008,2015,316714,electric,2,0,Q3
AL0000000100100008,2016,386048,electric,3,0,Q3
AL0000000100100008,2017,1069476,electric,1,0,Q3
AL0000000100100008,2018,340094,electric,2,0,Q3
AL0000000100100008,2019,386070,electric,2,0,Q3
AL0000000100100008,2020,1303266,electric,2,0,Q3
AL0000000100100008,2021,285080,electric,2,0,Q2
AL0000000100100008,2022,297992,electric,2,0,Q3
AL0000000100100008,2023,346672,electric,2,0,Q3
AL0000000100100008,2024,305286,electric,2,0,Q3
AL0000000100100009,2015,316714,electric,2,0,Q3
AL0000000100100009,2016,386048,electric,3,0,Q3
AL0000000100100009,2017,1069476,electric,1,0,Q3
