panel,YEAR,n_facility_years,n_known,n_active,n_na,pct_active,pct_na
major_synmin,2015,20261,20261,919,0,0.0454,0
major_synmin,2016,20261,20261,867,0,0.0428,0
major_synmin,2017,20261,20261,793,0,0.0391,0
major_synmin,2018,20261,20261,821,0,0.0405,0
major_synmin,2019,20261,20261,791,0,0.039,0
major_synmin,2020,20261,20261,765,0,0.0378,0
major_synmin,2021,20261,20261,827,0,0.0408,0
major_synmin,2022,20261,20261,800,0,0.0395,0
major_synmin,2023,20261,20261,746,0,0.0368,0
major_synmin,2024,20261,20261,630,0,0.0311,0
major_synmin,2025,20261,20261,468,0,0.0231,0
electric,2015,1913,1913,96,0,0.0502,0
electric,2016,1913,1913,87,0,0.0455,0
electric,2017,1913,1913,77,0,0.0403,0
electric,2018,1913,1913,86,0,0.045,0
electric,2019,1913,1913,92,0,0.0481,0
electric,2020,1913,1913,83,0,0.0434,0
electric,2021,1913,1913,85,0,0.0444,0
electric,2022,1913,1913,78,0,0.0408,0
electric,2023,1913,1913,74,0,0.0387,0
electric,2024,1913,1913,54,0,0.0282,0
electric,2025,1913,1913,38,0,0.0199,0
