GROUP,YEAR,n_inspected,hit_rate
electric,2015,1610,0.0714
electric,2016,1532,0.0822
electric,2017,1502,0.0766
electric,2018,1486,0.1036
electric,2019,1430,0.1021
electric,2020,1408,0.1016
electric,2021,1422,0.0907
electric,2022,1348,0.112
electric,2023,1357,0.115
electric,2024,1342,0.0946
electric,2025,1258,0.0882
other,2015,15663,0.0821
other,2016,15351,0.0911
other,2017,14773,0.0995
other,2018,14747,0.1205
other,2019,14697,0.1209
other,2020,13671,0.1097
other,2021,14325,0.1226
other,2022,14177,0.1294
other,2023,14265,0.149
other,2024,14013,0.1337
other,2025,13535,0.1306
