YEAR,panel,measure,n_obs,mean
2015,electric,N_CERTS,2105,4.58
2016,electric,N_CERTS,2073,7.03
2017,electric,N_CERTS,2042,10.49
2018,electric,N_CERTS,2054,11.75
2019,electric,N_CERTS,1993,10.35
2020,electric,N_CERTS,1944,5.96
2021,electric,N_CERTS,1930,5.84
2022,electric,N_CERTS,1882,5.05
2023,electric,N_CERTS,1912,4.53
2024,electric,N_CERTS,1853,4.59
2025,electric,N_CERTS,1795,4.66
2015,electric,N_ENFORCEMENT,2105,0.28
2016,electric,N_ENFORCEMENT,2073,0.27
2017,electric,N_ENFORCEMENT,2042,0.21
2018,electric,N_ENFORCEMENT,2054,0.26
2019,electric,N_ENFORCEMENT,1993,0.24
2020,electric,N_ENFORCEMENT,1944,0.19
2021,electric,N_ENFORCEMENT,1930,0.23
2022,electric,N_ENFORCEMENT,1882,0.31
2023,electric,N_ENFORCEMENT,1912,0.35
2024,electric,N_ENFORCEMENT,1853,0.27
2025,electric,N_ENFORCEMENT,1795,0.26
2015,electric,N_FORMAL,2105,0.09
2016,electric,N_FORMAL,2073,0.08
2017,electric,N_FORMAL,2042,0.07
2018,electric,N_FORMAL,2054,0.07
2019,electric,N_FORMAL,1993,0.07
2020,electric,N_FORMAL,1944,0.05
2021,electric,N_FORMAL,1930,0.07
2022,electric,N_FORMAL,1882,0.09
2023,electric,N_FORMAL,1912,0.09
2024,electric,N_FORMAL,1853,0.08
2025,electric,N_FORMAL,1795,0.05
2015,electric,N_HPV,2105,0.04
2016,electric,N_HPV,2073,0.03
2017,electric,N_HPV,2042,0.03
2018,electric,N_HPV,2054,0.03
2019,electric,N_HPV,1993,0.04
2020,electric,N_HPV,1944,0.03
2021,electric,N_HPV,1930,0.04
2022,electric,N_HPV,1882,0.04
2023,electric,N_HPV,1912,0.05
2024,electric,N_HPV,1853,0.03
2025,electric,N_HPV,1795,0.04
2015,electric,N_INFORMAL,2105,0.18
2016,electric,N_INFORMAL,2073,0.19
2017,electric,N_INFORMAL,2042,0.15
2018,electric,N_INFORMAL,2054,0.19
2019,electric,N_INFORMAL,1993,0.17
2020,electric,N_INFORMAL,1944,0.14
2021,electric,N_INFORMAL,1930,0.15
2022,electric,N_INFORMAL,1882,0.23
2023,electric,N_INFORMAL,1912,0.26
2024,electric,N_INFORMAL,1853,0.19
2025,electric,N_INFORMAL,1795,0.21
2015,electric,N_INSPECTIONS,2105,2.46
2016,electric,N_INSPECTIONS,2073,2.64
2017,electric,N_INSPECTIONS,2042,2.29
2018,electric,N_INSPECTIONS,2054,2.24
2019,electric,N_INSPECTIONS,1993,2.46
2020,electric,N_INSPECTIONS,1944,2.64
2021,electric,N_INSPECTIONS,1930,2.51
2022,electric,N_INSPECTIONS,1882,2.49
2023,electric,N_INSPECTIONS,1912,2.37
2024,electric,N_INSPECTIONS,1853,2.33
2025,electric,N_INSPECTIONS,1795,2.24
2015,electric,N_PENALTIES,2105,0.09
2016,electric,N_PENALTIES,2073,0.08
2017,electric,N_PENALTIES,2042,0.06
2018,electric,N_PENALTIES,2054,0.07
2019,electric,N_PENALTIES,1993,0.06
2020,electric,N_PENALTIES,1944,0.05
2021,electric,N_PENALTIES,1930,0.07
2022,electric,N_PENALTIES,1882,0.07
2023,electric,N_PENALTIES,1912,0.08
2024,electric,N_PENALTIES,1853,0.07
2025,electric,N_PENALTIES,1795,0.04
2015,electric,N_STACK_TESTS,2105,2.25
2016,electric,N_STACK_TESTS,2073,2.89
2017,electric,N_STACK_TESTS,2042,3.45
2018,electric,N_STACK_TESTS,2054,2.55
2019,electric,N_STACK_TESTS,1993,2.43
2020,electric,N_STACK_TESTS,1944,3.98
2021,electric,N_STACK_TESTS,1930,4.71
2022,electric,N_STACK_TESTS,1882,3.78
2023,electric,N_STACK_TESTS,1912,2.72
2024,electric,N_STACK_TESTS,1853,7.03
2025,electric,N_STACK_TESTS,1795,2.7
2015,electric,N_VIOLATIONS,2105,0.1
2016,electric,N_VIOLATIONS,2073,0.11
2017,electric,N_VIOLATIONS,2042,0.09
2018,electric,N_VIOLATIONS,2054,0.13
2019,electric,N_VIOLATIONS,1993,0.15
2020,electric,N_VIOLATIONS,1944,0.12
2021,electric,N_VIOLATIONS,1930,0.11
2022,electric,N_VIOLATIONS,1882,0.15
2023,electric,N_VIOLATIONS,1912,0.17
2024,electric,N_VIOLATIONS,1853,0.14
2025,electric,N_VIOLATIONS,1795,0.14
2015,major_synmin,N_CERTS,21718,3.19
2016,major_synmin,N_CERTS,21549,4.98
2017,major_synmin,N_CERTS,21047,6.11
2018,major_synmin,N_CERTS,21023,6.84
2019,major_synmin,N_CERTS,21003,5.53
2020,major_synmin,N_CERTS,20428,3.6
2021,major_synmin,N_CERTS,20894,3.38
2022,major_synmin,N_CERTS,20858,3.12
2023,major_synmin,N_CERTS,21082,2.97
2024,major_synmin,N_CERTS,21039,3.04
2025,major_synmin,N_CERTS,20496,3.14
2015,major_synmin,N_ENFORCEMENT,21718,0.38
2016,major_synmin,N_ENFORCEMENT,21549,0.39
2017,major_synmin,N_ENFORCEMENT,21047,0.36
2018,major_synmin,N_ENFORCEMENT,21023,0.38
2019,major_synmin,N_ENFORCEMENT,21003,0.4
2020,major_synmin,N_ENFORCEMENT,20428,0.33
2021,major_synmin,N_ENFORCEMENT,20894,0.39
2022,major_synmin,N_ENFORCEMENT,20858,0.43
2023,major_synmin,N_ENFORCEMENT,21082,0.47
2024,major_synmin,N_ENFORCEMENT,21039,0.41
2025,major_synmin,N_ENFORCEMENT,20496,0.4
2015,major_synmin,N_FORMAL,21718,0.1
2016,major_synmin,N_FORMAL,21549,0.11
2017,major_synmin,N_FORMAL,21047,0.09
2018,major_synmin,N_FORMAL,21023,0.1
2019,major_synmin,N_FORMAL,21003,0.1
2020,major_synmin,N_FORMAL,20428,0.09
2021,major_synmin,N_FORMAL,20894,0.1
2022,major_synmin,N_FORMAL,20858,0.11
2023,major_synmin,N_FORMAL,21082,0.1
2024,major_synmin,N_FORMAL,21039,0.1
2025,major_synmin,N_FORMAL,20496,0.08
2015,major_synmin,N_HPV,21718,0.04
2016,major_synmin,N_HPV,21549,0.04
2017,major_synmin,N_HPV,21047,0.04
2018,major_synmin,N_HPV,21023,0.04
2019,major_synmin,N_HPV,21003,0.04
2020,major_synmin,N_HPV,20428,0.04
2021,major_synmin,N_HPV,20894,0.05
2022,major_synmin,N_HPV,20858,0.06
2023,major_synmin,N_HPV,21082,0.06
2024,major_synmin,N_HPV,21039,0.04
2025,major_synmin,N_HPV,20496,0.04
2015,major_synmin,N_INFORMAL,21718,0.28
2016,major_synmin,N_INFORMAL,21549,0.27
2017,major_synmin,N_INFORMAL,21047,0.27
2018,major_synmin,N_INFORMAL,21023,0.29
2019,major_synmin,N_INFORMAL,21003,0.3
2020,major_synmin,N_INFORMAL,20428,0.25
2021,major_synmin,N_INFORMAL,20894,0.28
2022,major_synmin,N_INFORMAL,20858,0.32
2023,major_synmin,N_INFORMAL,21082,0.36
2024,major_synmin,N_INFORMAL,21039,0.31
2025,major_synmin,N_INFORMAL,20496,0.33
2015,major_synmin,N_INSPECTIONS,21718,1.76
2016,major_synmin,N_INSPECTIONS,21549,1.85
2017,major_synmin,N_INSPECTIONS,21047,1.66
2018,major_synmin,N_INSPECTIONS,21023,1.65
2019,major_synmin,N_INSPECTIONS,21003,1.74
2020,major_synmin,N_INSPECTIONS,20428,1.75
2021,major_synmin,N_INSPECTIONS,20894,1.73
2022,major_synmin,N_INSPECTIONS,20858,1.71
2023,major_synmin,N_INSPECTIONS,21082,1.69
2024,major_synmin,N_INSPECTIONS,21039,1.66
2025,major_synmin,N_INSPECTIONS,20496,1.61
2015,major_synmin,N_PENALTIES,21718,0.09
2016,major_synmin,N_PENALTIES,21549,0.1
2017,major_synmin,N_PENALTIES,21047,0.07
2018,major_synmin,N_PENALTIES,21023,0.09
2019,major_synmin,N_PENALTIES,21003,0.09
2020,major_synmin,N_PENALTIES,20428,0.07
2021,major_synmin,N_PENALTIES,20894,0.09
2022,major_synmin,N_PENALTIES,20858,0.1
2023,major_synmin,N_PENALTIES,21082,0.09
2024,major_synmin,N_PENALTIES,21039,0.08
2025,major_synmin,N_PENALTIES,20496,0.06
2015,major_synmin,N_STACK_TESTS,21718,0.96
2016,major_synmin,N_STACK_TESTS,21549,1.1
2017,major_synmin,N_STACK_TESTS,21047,1.16
2018,major_synmin,N_STACK_TESTS,21023,1.06
2019,major_synmin,N_STACK_TESTS,21003,1.08
2020,major_synmin,N_STACK_TESTS,20428,1.49
2021,major_synmin,N_STACK_TESTS,20894,1.55
2022,major_synmin,N_STACK_TESTS,20858,1.24
2023,major_synmin,N_STACK_TESTS,21082,1.09
2024,major_synmin,N_STACK_TESTS,21039,1.65
2025,major_synmin,N_STACK_TESTS,20496,1.06
2015,major_synmin,N_VIOLATIONS,21718,0.12
2016,major_synmin,N_VIOLATIONS,21549,0.14
2017,major_synmin,N_VIOLATIONS,21047,0.14
2018,major_synmin,N_VIOLATIONS,21023,0.17
2019,major_synmin,N_VIOLATIONS,21003,0.17
2020,major_synmin,N_VIOLATIONS,20428,0.15
2021,major_synmin,N_VIOLATIONS,20894,0.18
2022,major_synmin,N_VIOLATIONS,20858,0.19
2023,major_synmin,N_VIOLATIONS,21082,0.21
2024,major_synmin,N_VIOLATIONS,21039,0.2
2025,major_synmin,N_VIOLATIONS,20496,0.18
