GROUP,YEAR,n_with_eval,n_self_disclosed,share_self_disclosed
electric,2015,0,0,
electric,2016,34,1,0.0294
electric,2017,118,11,0.0932
electric,2018,132,8,0.0606
electric,2019,127,10,0.0787
electric,2020,115,14,0.1217
electric,2021,79,19,0.2405
electric,2022,139,21,0.1511
electric,2023,168,9,0.0536
electric,2024,150,28,0.1867
electric,2025,120,16,0.1333
other,2015,4,0,0
other,2016,347,69,0.1988
other,2017,1657,184,0.111
other,2018,1819,187,0.1028
other,2019,1750,200,0.1143
other,2020,1634,155,0.0949
other,2021,2080,307,0.1476
other,2022,1856,191,0.1029
other,2023,2296,230,0.1002
other,2024,2089,203,0.0972
other,2025,1716,143,0.0833
