STATE,panel,n_facilities,n_facility_years
CA,Electric,259,5439
TX,Electric,209,4389
IA,Electric,188,3948
NY,Electric,181,3801
PA,Electric,131,2751
MI,Electric,130,2730
IL,Electric,123,2583
KS,Electric,115,2415
FL,Electric,107,2247
OH,Electric,102,2142
GA,Electric,98,2058
MN,Electric,74,1554
VA,Electric,74,1554
NC,Electric,72,1512
MA,Electric,69,1449
MO,Electric,69,1449
NJ,Electric,67,1407
WI,Electric,67,1407
IN,Electric,65,1365
NE,Electric,64,1344
SC,Electric,51,1071
CO,Electric,48,1008
OK,Electric,48,1008
LA,Electric,46,966
AZ,Electric,37,777
KY,Electric,37,777
MS,Electric,37,777
MD,Electric,34,714
NV,Electric,34,714
AL,Electric,31,651
TN,Electric,31,651
ME,Electric,28,588
CT,Electric,26,546
WA,Electric,26,546
AR,Electric,25,525
NM,Electric,25,525
WV,Electric,24,504
OR,Electric,23,483
SD,Electric,23,483
NH,Electric,19,399
UT,Electric,18,378
DE,Electric,16,336
WY,Electric,15,315
MT,Electric,14,294
ND,Electric,14,294
ID,Electric,13,273
VT,Electric,8,168
RI,Electric,7,147
DC,Electric,3,63
OK,Major/SynMin,2773,58233
NY,Major/SynMin,2672,56112
TX,Major/SynMin,2269,47649
PA,Major/SynMin,2089,43869
CO,Major/SynMin,2085,43785
IA,Major/SynMin,2014,42294
OH,Major/SynMin,1876,39396
MI,Major/SynMin,1703,35763
CA,Major/SynMin,1668,35028
GA,Major/SynMin,1657,34797
IN,Major/SynMin,1636,34356
VA,Major/SynMin,1628,34188
NJ,Major/SynMin,1519,31899
NC,Major/SynMin,1442,30282
FL,Major/SynMin,1352,28392
TN,Major/SynMin,1253,26313
KS,Major/SynMin,1211,25431
AR,Major/SynMin,1191,25011
NM,Major/SynMin,1128,23688
MA,Major/SynMin,1090,22890
IL,Major/SynMin,968,20328
AL,Major/SynMin,966,20286
SC,Major/SynMin,809,16989
LA,Major/SynMin,744,15624
WI,Major/SynMin,728,15288
MS,Major/SynMin,641,13461
KY,Major/SynMin,634,13314
MO,Major/SynMin,471,9891
MN,Major/SynMin,451,9471
WA,Major/SynMin,394,8274
MD,Major/SynMin,391,8211
AZ,Major/SynMin,388,8148
ME,Major/SynMin,379,7959
WV,Major/SynMin,339,7119
ID,Major/SynMin,319,6699
NE,Major/SynMin,299,6279
CT,Major/SynMin,258,5418
NH,Major/SynMin,238,4998
OR,Major/SynMin,207,4347
SD,Major/SynMin,194,4074
DE,Major/SynMin,184,3864
UT,Major/SynMin,174,3654
ND,Major/SynMin,173,3633
VT,Major/SynMin,171,3591
RI,Major/SynMin,168,3528
NV,Major/SynMin,162,3402
WY,Major/SynMin,157,3297
MT,Major/SynMin,106,2226
DC,Major/SynMin,54,1134
OK,Universe,10787,226527
CO,Universe,9587,201327
OH,Universe,8198,172158
PA,Universe,7750,162750
NY,Universe,7136,149856
IL,Universe,6637,139377
VA,Universe,6599,138579
LA,Universe,4991,104811
FL,Universe,4588,96348
MO,Universe,4318,90678
TX,Universe,4020,84420
NC,Universe,3968,83328
MD,Universe,3885,81585
IA,Universe,3854,80934
MA,Universe,3651,76671
NJ,Universe,3424,71904
KS,Universe,3244,68124
TN,Universe,3131,65751
SC,Universe,2731,57351
CA,Universe,2399,50379
GA,Universe,2225,46725
MI,Universe,2156,45276
NM,Universe,2151,45171
IN,Universe,2124,44604
AL,Universe,2117,44457
AR,Universe,1949,40929
MN,Universe,1832,38472
NE,Universe,1687,35427
ID,Universe,1380,28980
WV,Universe,1217,25557
CT,Universe,1147,24087
WI,Universe,1005,21105
NH,Universe,944,19824
MS,Universe,910,19110
ND,Universe,891,18711
KY,Universe,828,17388
ME,Universe,803,16863
WA,Universe,752,15792
UT,Universe,654,13734
SD,Universe,575,12075
WY,Universe,568,11928
AZ,Universe,522,10962
DE,Universe,361,7581
RI,Universe,352,7392
DC,Universe,308,6468
OR,Universe,284,5964
VT,Universe,228,4788
NV,Universe,185,3885
MT,Universe,160,3360
