STATE,n_facilities,n_facility_years,mean_enforcement
CA,1219,9976,2.1474
WA,292,2518,1.6152
NJ,1337,4969,0.8233
OH,1394,7730,0.5555
NH,213,962,0.5489
CT,240,1149,0.544
MI,1492,7456,0.5287
RI,138,659,0.4947
LA,654,5445,0.4215
PA,1863,15722,0.4058
VT,154,560,0.4018
SC,685,5166,0.3899
TN,1014,8499,0.3753
IL,764,5333,0.375
KY,592,5054,0.3662
MN,400,3219,0.3638
CO,1678,6436,0.3552
DE,144,1002,0.3303
GA,1287,8251,0.2979
MS,510,3303,0.2879
AZ,316,1884,0.2866
IA,1187,5522,0.2756
IN,1407,12656,0.2737
NC,1215,10743,0.2664
NV,124,795,0.2642
WI,624,4557,0.2636
MO,391,3165,0.2585
MA,780,3298,0.255
TX,1804,10806,0.2549
AR,986,6203,0.2513
OK,2405,10701,0.244
OR,174,1359,0.2406
NM,1017,3797,0.2357
MT,98,721,0.2025
NE,251,1840,0.1891
KS,1068,7357,0.1881
ID,273,1118,0.1762
VA,1610,8492,0.1544
NY,1085,7721,0.1496
WY,145,1195,0.1431
DC,51,455,0.1341
MD,342,2746,0.1315
AL,775,6786,0.1195
WV,322,2586,0.1121
FL,1010,6704,0.1016
ME,300,1375,0.1004
UT,145,1062,0.0574
SD,149,1057,0.0274
ND,144,1027,0.0127
