panel,measure,n_obs,pct_na,min,p25,median,p75,p99,max,mean,pct_zero
major_synmin,N_INSPECTIONS,175944,0,0,1,1,2,14,122,1.85,0.247
major_synmin,N_VIOLATIONS,175944,0,0,0,0,0,2,277,0.17,0.888
major_synmin,N_HPV,175944,0,0,0,0,0,1,237,0.05,0.976
major_synmin,N_ENFORCEMENT,175944,0,0,0,0,0,6,555,0.42,0.859
major_synmin,N_FORMAL,175944,0,0,0,0,0,2,117,0.11,0.938
major_synmin,N_INFORMAL,175944,0,0,0,0,0,4,550,0.31,0.892
major_synmin,N_CERTS,175944,0,0,0,5,5,20,850,5,0.362
major_synmin,N_STACK_TESTS,175944,0,0,0,0,0,19,2609,1.39,0.755
major_synmin,N_PENALTIES,175944,0,0,0,0,0,2,116,0.1,0.946
electric,N_INSPECTIONS,18697,0,0,0,1,2,22,117,2.49,0.275
electric,N_VIOLATIONS,18697,0,0,0,0,0,2,25,0.13,0.916
electric,N_HPV,18697,0,0,0,0,0,1,25,0.04,0.978
electric,N_ENFORCEMENT,18697,0,0,0,0,0,5,44,0.26,0.905
electric,N_FORMAL,18697,0,0,0,0,0,2,20,0.08,0.955
electric,N_INFORMAL,18697,0,0,0,0,0,4,44,0.19,0.931
electric,N_CERTS,18697,0,0,5,5,5,55,720,7.39,0.148
electric,N_STACK_TESTS,18697,0,0,0,0,2,52,2609,3.65,0.598
electric,N_PENALTIES,18697,0,0,0,0,0,2,20,0.07,0.96
