YEAR,n_obs,n_hpv,n_frv,n_with_eval,n_with_ea,pct_hpv,pct_viol_with_eval,pct_viol_with_ea
2005,24,24,11,0,27,0.6857,0,0.7714
2006,15,15,7,0,14,0.6818,0,0.6364
2007,27,50,0,0,45,1,0,0.9
2008,38,75,0,0,63,1,0,0.84
2009,34,52,0,0,43,1,0,0.8269
2010,24,29,3,0,27,0.9062,0,0.8438
2011,40,61,5,0,44,0.9242,0,0.6667
2012,39,65,4,0,58,0.942,0,0.8406
2013,57,101,11,0,107,0.9018,0,0.9554
2014,24,34,6,0,34,0.85,0,0.85
2015,30,67,8,6,68,0.8933,0.08,0.9067
2016,1276,783,1445,473,1742,0.3514,0.2123,0.7819
2017,2848,1830,3518,2218,4171,0.3422,0.4147,0.7799
2018,3280,1793,4179,2390,4461,0.3002,0.4002,0.747
2019,3246,1847,4184,2372,4313,0.3063,0.3933,0.7151
2020,2821,1410,3543,2171,3424,0.2847,0.4383,0.6913
2021,3662,1922,4655,2999,4523,0.2922,0.456,0.6877
2022,3348,2561,4271,2420,5034,0.3749,0.3542,0.7368
2023,3888,2234,5056,3051,5147,0.3064,0.4185,0.706
2024,3409,1337,4880,2668,4054,0.2151,0.4291,0.6521
2025,3149,920,4201,2250,3050,0.1797,0.4394,0.5956
