variable,level,n,pct
STATE,CO,32441,0.116
STATE,IL,28493,0.1019
STATE,OK,18383,0.0657
STATE,LA,13834,0.0495
STATE,NY,12626,0.0451
STATE,PA,11425,0.0409
STATE,MD,11119,0.0398
STATE,OH,10966,0.0392
STATE,VA,10252,0.0367
STATE,NM,8827,0.0316
STATE,TX,7743,0.0277
STATE,KS,7514,0.0269
STATE,GA,7474,0.0267
STATE,NJ,7182,0.0257
STATE,NE,7055,0.0252
STATE,MO,6883,0.0246
STATE,FL,6880,0.0246
STATE,IA,6242,0.0223
STATE,UT,6175,0.0221
STATE,MA,5270,0.0188
STATE,NC,4141,0.0148
STATE,TN,4093,0.0146
STATE,MN,3650,0.0131
STATE,MI,3490,0.0125
STATE,SC,3443,0.0123
STATE,CT,3191,0.0114
STATE,CA,2916,0.0104
STATE,AL,2884,0.0103
STATE,IN,2483,0.0089
STATE,AR,2463,0.0088
STATE,ND,1859,0.0066
STATE,ID,1823,0.0065
STATE,MS,1693,0.0061
STATE,NH,1630,0.0058
STATE,ME,1426,0.0051
STATE,WV,1393,0.005
STATE,WI,1211,0.0043
STATE,KY,1007,0.0036
STATE,WA,946,0.0034
STATE,WY,863,0.0031
STATE,SD,758,0.0027
STATE,AZ,739,0.0026
STATE,RI,718,0.0026
STATE,AK,692,0.0025
STATE,DC,636,0.0023
STATE,PR,625,0.0022
STATE,OR,434,0.0016
STATE,DE,427,0.0015
STATE,VT,367,0.0013
STATE,NV,247,0.0009
STATE,MT,236,0.0008
STATE,HI,222,0.0008
STATE,VI,126,0.0005
STATE,GU,38,0.0001
STATE,MP,11,0
EPA_REGION,6,51224,0.1832
EPA_REGION,5,50406,0.1802
EPA_REGION,8,42317,0.1513
EPA_REGION,3,35284,0.1262
EPA_REGION,4,31595,0.113
EPA_REGION,7,27683,0.099
EPA_REGION,2,20552,0.0735
EPA_REGION,1,12603,0.0451
EPA_REGION,9,4121,0.0147
EPA_REGION,10,3880,0.0139
FACILITY_TYPE,Privately owned,166881,0.7184
FACILITY_TYPE,Non-government,40816,0.1757
FACILITY_TYPE,Corporation,13755,0.0592
FACILITY_TYPE,County government,3601,0.0155
FACILITY_TYPE,Municipality,3174,0.0137
FACILITY_TYPE,Federal facility,1482,0.0064
FACILITY_TYPE,State facility,1423,0.0061
FACILITY_TYPE,District,594,0.0026
FACILITY_TYPE,Tribal government,260,0.0011
FACILITY_TYPE,Municipal or water district,177,0.0008
FACILITY_TYPE,School district,61,0.0003
FACILITY_TYPE,Mixed ownership (public/private),60,0.0003
AIR_POLLUTANT_CLASS_DESC,Minor Emissions,196467,0.7437
AIR_POLLUTANT_CLASS_DESC,Synthetic Minor Emissions,37507,0.142
AIR_POLLUTANT_CLASS_DESC,Major Emissions,19071,0.0722
AIR_POLLUTANT_CLASS_DESC,Emissions classification unknown,7271,0.0275
AIR_POLLUTANT_CLASS_DESC,Not applicable,2688,0.0102
AIR_POLLUTANT_CLASS_DESC,Other,1186,0.0045
OP_STATUS_CURRENT_DESC,Operating,184062,0.6891
OP_STATUS_CURRENT_DESC,Permanently Closed,77439,0.2899
OP_STATUS_CURRENT_DESC,Temporarily Closed,3992,0.0149
OP_STATUS_CURRENT_DESC,Planned Facility,759,0.0028
OP_STATUS_CURRENT_DESC,Under Construction,540,0.002
OP_STATUS_CURRENT_DESC,Seasonal,329,0.0012
