"year","rank","timestamp","digest","also_timestamps_same_digest","tried","download_ok","missing_staged_files","n_files_compared","n_files_matched","result"
2015,1,"20150927111008","55SQGKFB2JJEH47KM46SRDUX7XS7AB57","",TRUE,TRUE,NA,10,10,"MATCH"
2015,2,"20150908003635","UYEN4DA3VY7FWA6LI5ZEMZBZ4GRQTAV2","",FALSE,NA,NA,NA,NA,"NOT_TRIED"
2016,1,"20161230164933","VKFYQMNUBJMRKUONRP7XVFF7AMCBUD22","",TRUE,TRUE,NA,10,0,"MISMATCH"
2016,2,"20161225101825","U72ZRHRJSCN74BCTWEYJRAYIW2VW2WDV","",TRUE,TRUE,NA,10,10,"MATCH"
2017,1,"20170514071503","YMS6PPKDSTNTP6RFUDFUM4UUE4LPDC2G","",TRUE,TRUE,NA,10,10,"MATCH"
2017,2,"20170427030526","F7NKPIWRMOUVWIGSFSJGTF42IDL6TUAY","",FALSE,NA,NA,NA,NA,"NOT_TRIED"
2017,3,"20170124233723","QXOR2SB3IXVMBWTNMYNT4E3DOPBMILAU","",FALSE,NA,NA,NA,NA,"NOT_TRIED"
2019,1,"20190525005616","O5T2O5OAXHMK3D6MZWO5PQZBM654MEWO","",TRUE,TRUE,NA,10,10,"MATCH"
2020,1,"20201016201845","V7ACZB5T657ST7ETEGT52GXHZ6UDRW7B","",TRUE,TRUE,NA,10,10,"MATCH"
2021,1,"20211031083633","UXDZPUB567IDCX563GZAFJTZDQF252H4","",TRUE,TRUE,NA,10,10,"MATCH"
2021,2,"20210318011658","JTG5Z52AJVHXPCT4YDYRMF2MTOJYAEYQ","",FALSE,NA,NA,NA,NA,"NOT_TRIED"
2022,1,"20221217025906","NTWJZA5WA7CCKKFKDFRQPI2Q2AOJ2G7G","",TRUE,TRUE,NA,10,0,"MISMATCH"
2022,2,"20221129221859","VV3KPW4E3YI32RYJNNF2SKBTCU2UKB4W","",TRUE,TRUE,NA,10,10,"MATCH"
2022,3,"20220428205218","GXZHAF33OTC2GQQK2IREGIMQHXK3ZQRY","",FALSE,NA,NA,NA,NA,"NOT_TRIED"
2023,1,"20230601011243","Y2S6VQJIIB4ULS6DENTGUO4AIBCC7MXS","",TRUE,TRUE,NA,10,10,"MATCH"
