"year","n_staged_files","n_captures_any_status","n_captures_200","n_unique_candidates","status","matched_timestamp","matched_digest","match_rank","note"
2015,10,2,2,2,"PASS","20150927111008","55SQGKFB2JJEH47KM46SRDUX7XS7AB57",1,"matched at rank 1 of 2 unique candidate(s)"
2016,10,2,2,2,"PASS","20161225101825","U72ZRHRJSCN74BCTWEYJRAYIW2VW2WDV",2,"matched at rank 2 of 2 unique candidate(s)"
2017,10,3,3,3,"PASS","20170514071503","YMS6PPKDSTNTP6RFUDFUM4UUE4LPDC2G",1,"matched at rank 1 of 3 unique candidate(s)"
2019,10,1,1,1,"PASS","20190525005616","O5T2O5OAXHMK3D6MZWO5PQZBM654MEWO",1,"matched at rank 1 of 1 unique candidate(s)"
2020,10,1,1,1,"PASS","20201016201845","V7ACZB5T657ST7ETEGT52GXHZ6UDRW7B",1,"matched at rank 1 of 1 unique candidate(s)"
2021,10,2,2,2,"PASS","20211031083633","UXDZPUB567IDCX563GZAFJTZDQF252H4",1,"matched at rank 1 of 2 unique candidate(s)"
2022,9,3,3,3,"PASS","20221129221859","VV3KPW4E3YI32RYJNNF2SKBTCU2UKB4W",2,"matched at rank 2 of 3 unique candidate(s)"
2023,8,1,1,1,"PASS","20230601011243","Y2S6VQJIIB4ULS6DENTGUO4AIBCC7MXS",1,"matched at rank 1 of 1 unique candidate(s)"
2024,8,5,5,5,"PASS","20240926180831","FKP664PXOTSVKTR2PGF2GILYKXZMXQSD",3,"matched at rank 3 of 5 unique candidate(s)"
2025,8,12,12,12,"PASS","20250914052608","AOEMQBHVQC6K7JWVZWUT4GVXQMGJJ4CG",1,"matched at rank 1 of 12 unique candidate(s)"
